Lap_Label,Comment_Count
Before Lap,89
1.0,285
2.0,243
3.0,118
4.0,94
5.0,70
6.0,171
7.0,123
8.0,107
9.0,85
10.0,86
11.0,51
12.0,65
13.0,70
14.0,86
15.0,50
16.0,44
17.0,58
18.0,37
19.0,52
20.0,63
21.0,40
22.0,59
23.0,63
24.0,55
25.0,99
26.0,113
27.0,100
28.0,46
29.0,33
30.0,52
31.0,119
32.0,59
33.0,33
34.0,23
35.0,51
36.0,42
37.0,34
38.0,39
39.0,46
40.0,69
41.0,42
42.0,67
43.0,52
44.0,71
45.0,63
46.0,141
47.0,67
48.0,105
49.0,45
50.0,43
51.0,66
52.0,142
53.0,75
54.0,78
55.0,65
56.0,52
57.0,38
58.0,116
After Lap,1027
