post_timestamp,post_title,post_content
2024-04-21 16:00:02,1min to go,- dc official App
2024-04-21 16:00:03,기우제 ㄱㄱㄱㄱ,- dc official App
2024-04-21 16:00:09,짱깨 호감행동 ㅋㅋㅋ,
2024-04-21 16:00:14,대 주 석 님 의 댄 싱 파 우 더,"ㅅㅅㅅ
- dc official App"
2024-04-21 16:00:15,임시정부에서 물폭탄을 던졌다,ㄷㄷ
2024-04-21 16:00:14,레인마스터 입갤 ㅋ,ㅋㅋㅋ
2024-04-21 16:00:16,대륙의 파도 ㄷㄷ,
2024-04-21 16:00:17,주석님 ㅅㅂ 이건 아니죠,"너무한거아니오
Oracle Red Bull Racing RB20"
2024-04-21 16:00:18,짱깨 파도타기 재밌게하노ㅋㅋ,
2024-04-21 16:00:19,콘서트에 신났네,"인공강우 드 가자
- dc official App"
2024-04-21 16:00:31,중국 애들 웃기네ㅋㅋㅋㅋ,5년 만에 중국 그랑프리라고 신났노
2024-04-21 16:00:37,P1-10까진 전부 미디움 스타트네,ㅇㅇ
2024-04-21 16:00:39,마그누센 하드면 원스탑 비벼보겠다는건가,"??
- dc official App"
2024-04-21 16:00:39,7%도 할수 있대잖아,10% 안될거 뭐 있노
2024-04-21 16:00:43,如果你相信註釋，推薦狗之類的東西ㅋㅋㅋㅋㅋㅋㅋ,ㅇㄷㄴㅂㅌ
2024-04-21 16:00:51,오늘 장미좌 해설이노 ㅋㅋ,해물탕 나올때마다 싱글벙글예정 ㅋㅋㅋㅋㅋ
2024-04-21 16:00:55,대 마 오,"ㅋㅋㅋㅋㅋ
- dc official App"
2024-04-21 16:01:06,레드불을 리타이어 시키는 것도 가능할까…,‘주석’의 힘을 사용하면…
2024-04-21 16:01:17,타햄 위치,"존나 불안한데
앞에는 하스 뒤에는 스트롤
하스 직빨 빨라서 자우버 똥차가지고 추월 못하다가 스트롤한테 따잇당하고 노포인트 피니시 당하는 그림이 보이는데...  ㅅㅂ
- dc official App"
2024-04-21 16:01:17,근데 제 롤랙스 시계 볼때마다 느끼는건데,정각 맞춰서 분침 움직이는거 너무 저렴한 느낌 아니냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-04-21 16:01:32,오늘 해밀턴 몇 위 예상함?,
2024-04-21 16:01:52,스트롤 손목에 시계그림 언제부터있던거임??ㅋㅋㅋ,
2024-04-21 16:01:57,랜도야 오늘은 노우! 하지 말고 바꾸자,비오면 바꾸자 제발
2024-04-21 16:02:00,도련놈 시발 도박 드가자ㅏㅏ,도련님 믿는다 시발
2024-04-21 16:02:18,인공강우  제발!,- dc official App
2024-04-21 16:02:37,레드불 좆간지네,바이빗 떼니까 포스 미쳤네
2024-04-21 16:02:43,솔드아웃ㅋㅋ,"와 ㅋㅋ
Oracle Red Bull Racing RB20"
2024-04-21 16:02:45,매진 ㄷㄷㄷ,
2024-04-21 16:02:45,매진 ㄷㄷ,
2024-04-21 16:02:48,재밌겠노 시바 ㅋㅋㅋ,
2024-04-21 16:03:01,매진이면 몇 석 정도냐??,
2024-04-21 16:03:02,저거 미세먼지냐 먹구름이냐 ㅋㅋ,비 좀.
2024-04-21 16:03:04,저것이 대륙의 품격? 조센징네이놈!!!!!,
2024-04-21 16:03:12,이러다 저우관유 2022 실버스톤하면 어케됨?,갑분싸오질듯
2024-04-21 16:03:18,F1 인기가 엄청 오르긴 했네,중국에서 매진이라니 ㄷㄷ
2024-04-21 16:03:27,이쁜이 스캔중ㄷㄷㄷ,ㄷㄷㄷㄷ
2024-04-21 16:03:27,짤 금지 뭐노,에잉
2024-04-21 16:03:28,왜 정시 시작 아님?,- dc official App
2024-04-21 16:03:35,중국이 저렇게 f1 인기가 많았나,"단순히 저우 때문은 아닌갓 같고
그냥 인구 생각하면 평타인거냐ㅋㅋ
- dc official App"
2024-04-21 16:03:48,야스 곧 시작ㄷㄷㄷㄷ,
2024-04-21 16:03:58,번아웃 3~4번하네,"평소에는 2번하드만
트랙온도 30.5도면 나쁘진 않은디
- dc official App"
2024-04-21 16:04:02,야스 시작!!!!,
2024-04-21 16:04:10,표 구매는 인민들의 절대적인 자유의지였습니다.,그렇습니다.
2024-04-21 16:04:12,어뢰 드가자 ㅋㅋㅋ,ㅋㅋㅋㅋ
2024-04-21 16:04:13,ㄷㄱㅈ ㄷㄱㅈ,ㅋㅋㅋㅋㅋ
2024-04-21 16:04:13,비 오나??,?
2024-04-21 16:04:14,출발 드가자 ㅋㅋ,
2024-04-21 16:04:17,시진-핑! 시-진핑! 시-진핑!,인공강우!!!!!!!!!
