post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-05-19 22:00:07,길막하고 3그리드?,"5그리드 해야제
사람 한명 인생 망쳤는데
- dc official App",Before Lap,
2024-05-19 22:00:16,착석 완료,두걔쟤,Before Lap,
2024-05-19 22:00:17,쿠팡 세나랑 막스랑 어깨 나란히 한다 하는데,"막스가 존나 좆사기 캐릭터는 맞는데
그래도 세나랑 동급은 아니지 않음?
- dc official App",Before Lap,
2024-05-19 22:00:18,앱 텔레메트리,"공식앱이랑 멀티뷰어랑 1분 차이나노
영상도 1분차이 ㅋㅋ
- dc official App",Before Lap,
2024-05-19 22:00:33,알론소 소프트 스타트 미친놈 ㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:00:31,레이스 스타트 타이어 정리,,Before Lap,
2024-05-19 22:00:42,대라렌 가즈아,가즈아,Before Lap,
2024-05-19 22:00:45,알론소 : 오늘 점수따기 힘들다.,"인터뷰 요약
- 좋든 싫든 우린 점수 따기 힘들다.
- 이번 경기는 사실상 연습세션이다.
- 몇 가지 결론을 내리고 레이스 마치길 바란다.
출처 : lap by lap
* 영어실력 딸려서 의역 좀 있음
- dc official App",Before Lap,
2024-05-19 22:00:55,페레즈는 하드네,,Before Lap,
2024-05-19 22:00:56,근데 세나 죽은거,탐부렐로에 타이어 월만 있었어도 안 죽었음?,Before Lap,
2024-05-19 22:01:15,제발 1랩 어뢰 터져라,스트롤 너만 믿는다,Before Lap,
2024-05-19 22:01:16,애마의 타이어전략은 알수없다,진짜뭐임,Before Lap,
2024-05-19 22:01:19,쿠팡에게 건의한다,"따로 원하는 사람만 추가 요금 결제 받고
돈 낸 사람만 4k 화질로 스트리밍 해주면 안 될까??",Before Lap,
2024-05-19 22:01:22,원래 이몰라에서 출발때 사고 많이 났음?,"시작이 젤 중요하다길래
작년 중반 입문이라 잘 몰라요…
- dc official App",Before Lap,
2024-05-19 22:01:26,빨간 플레어 가져왔노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:01:28,티포시의 주말 스타트,,Before Lap,
2024-05-19 22:01:29,캬 오늘 진짜 알차네,"아침에 nba 저녁에 롤대회 밤에 f1
ㅆㅆ",Before Lap,
2024-05-19 22:01:31,포메이션 랩은 뭐냐?,바로 시작하는거 아님? LA그랑프리는 도중에봐서..,Before Lap,
2024-05-19 22:01:45,님들 저 ㅈ됐음,치킨 방금 다 먹음,Before Lap,
2024-05-19 22:01:45,"페레즈, 어뢰를 시작해",,Before Lap,
2024-05-19 22:01:50,쥬지 폴한번만 가자,천운이 따른다면,Before Lap,
2024-05-19 22:02:06,핏레인 스타트라서 뭐 타이어가 엄청나게 큰 영향을 미칠까 싶긴 한데,,Before Lap,
2024-05-19 22:02:10,먹을거 준비안했는데,종이나 씹어먹어야겠노..,Before Lap,
2024-05-19 22:02:14,체코만 믿는다,,Before Lap,
2024-05-19 22:02:25,낭만 ㅈ되노 ㅋㅋ,- dc official App,Before Lap,
2024-05-19 22:02:32,홍염 지랄났네 ㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:32,연막 입갤ㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:33,빨간 연막탄,"존나 뽕차네 ㅋㅋ
- dc official App",Before Lap,
2024-05-19 22:02:34,홍염 미쳣네 ㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:35,홍염 씹ㅋㅋㅋㅋ,ㅋㅋㅋ,Before Lap,
2024-05-19 22:02:35,캬 저거지 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:36,엪원 많이 보나봐,"쿠팡 끊기는거 가터
- dc official App",Before Lap,
2024-05-19 22:02:41,아일턴세나가 뭐가 그렇게 대단함?,왤케 성역시하지?,Before Lap,
2024-05-19 22:02:43,연막 뭐임ㅋㅋ,ㅋㅋㅋㅋㅋ,Before Lap,
2024-05-19 22:02:43,플레어 씨발 ㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:48,티포시 규모 개무섭네,ㅎㄷㄷ,Before Lap,
2024-05-19 22:02:48,연막 ㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:50,오렌지들이 하는거 보고 자기들도 하는거냐?,,Before Lap,
2024-05-19 22:02:54,홍염씨발ㅋㅋㅋ,,Before Lap,
2024-05-19 22:02:58,마 저게 근본이다,"오렌지 연기 새끼들은 꺼져라
- dc official App",Before Lap,
2024-05-19 22:03:05,티포시의 주말을 기다린다 음음,제ㅔ발,Before Lap,
2024-05-19 22:03:07,슈마허 그 곳에선 잘 보고 있죠?,집에서 잘 보는 중,Before Lap,
2024-05-19 22:03:11,ㄷㄱㄷㄱ,"페라리 맥라렌 해보자
- dc official App",Before Lap,
2024-05-19 22:03:11,제발 몽골 노리스 충돌,"페라리 원 투 가자
- dc official App",Before Lap,
2024-05-19 22:03:13,오늘 피트출발 있어???,"ㅇㅇ?
- dc official App",Before Lap,
2024-05-19 22:03:14,알론소 핏레인스타트임?,- dc official App,Before Lap,
2024-05-19 22:03:15,몽골아 ㅋㅋㅋ,ㅋ,Before Lap,
2024-05-19 22:03:15,누리스 집중어택 ㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:03:17,뉴비 지금 준비 땅인줄 ㅠㅠ,막스가 왓다리 갓다리 지그재그 해서 미친놈인줄 알앗뇨,Before Lap,
2024-05-19 22:03:19,ㅋㅋㅋㅋ저렇게 서버리네,신기,Before Lap,
2024-05-19 22:03:19,츠노다 우승기원,ㅋ,Before Lap,
2024-05-19 22:03:15,오 시발 못볼뻔,,Before Lap,
2024-05-19 22:03:24,저 ㅈ 같은 연막탄은 어디서 사오는거냐 ㅋㅋㅋ,제곧내,Before Lap,
2024-05-19 22:03:24,티포시 연막 뭐냐 ㅋㅋㅋㅋ 몽골견 급이노,,Before Lap,
2024-05-19 22:03:26,차 저렇게 삐뚤게 세워도 되냐?,ㅋㅋㅋㅋ,Before Lap,
2024-05-19 22:03:27,직부세팅완료 ㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-05-19 22:03:33,지금 레이스 시작함?,옦똒해,Before Lap,
2024-05-19 22:03:34,몽골이랑 노리스 키스마려우면 개추 ㅋㅋㅋ,,Before Lap,
2024-05-19 22:03:34,티포시 보고 탈다림 생각나는 거 나만 그러냐,"홍염 터뜨리고 빨간 옷까지 입으니까 ㄹㅇ 탈다림 생각남
- dc official App",Before Lap,
2024-05-19 22:03:39,역시 유럽서킷은 뭔가 낭만이 있음,노근본 짱깨 사막 기름쟁이들 레이스와 궤를 달리함,1,1.0
2024-05-19 22:03:39,3연속 노잼 서킷 맞음?,??,1,1.0
2024-05-19 22:03:40,가보자,,1,1.0
2024-05-19 22:03:43,제발 몽골 리타,"제발 가자
- dc official App",1,1.0
2024-05-19 22:03:43,어우막,ㄹㅇ,1,1.0
2024-05-19 22:03:43,드가자,ㄱㄱ,1,1.0
2024-05-19 22:03:49,하나 둘 셋 막스 화이팅!!,,1,1.0
2024-05-19 22:03:49,ㄱㄱ,,1,1.0
2024-05-19 22:03:51,드가자 ㅋㅋㅋㅋㅋ,,1,1.0
2024-05-19 22:03:51,레이스 스따뜨ㅋㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-05-19 22:03:51,아무나 어뢰해 제발,,1,1.0
2024-05-19 22:03:54,드가자,,1,1.0
2024-05-19 22:03:55,자드가자,아아아,1,1.0
2024-05-19 22:03:50,홍세먼지 ㅋㅋㅋㅋ,,1,1.0
2024-05-19 22:04:00,막스는 시발 내가 볼때마다 우승 못하네,뭐 있나..?,1,1.0
2024-05-19 22:04:04,가속을~~~시작합니다!!,wwwwww,1,1.0
2024-05-19 22:04:07,시쟉 ㅋㅋㅋ,,1,1.0
2024-05-19 22:04:13,게임끝 ㅋㅋㅋ,- dc official App,1,1.0
2024-05-19 22:04:19,레이스 다봤네 수고,,1,1.0
2024-05-19 22:04:20,종신좌 드레이크는 좆바르겠노 ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,1,1.0
2024-05-19 22:04:20,아니 시발 벌써 벌어짐? ㅋㅋㅋ,"뭐냐 진짜
- dc official App",1,1.0
2024-05-19 22:04:22,캬 씨발 지리노 ㅋㅋㅋㅋ,,1,1.0
2024-05-19 22:04:25,막스우승ㅋㅋ,,1,1.0
2024-05-19 22:04:28,막스 스타팅그리드에서부터 노리스 방향이네 차가 ㅋㅋ,,1,1.0
2024-05-19 22:04:29,어우막 ㅈㅈ,,1,1.0
2024-05-19 22:04:32,레이스 끝,ㅂㅂ,1,1.0
2024-05-19 22:04:32,레이스 끝났네,ㅅㅂ,1,1.0
2024-05-19 22:04:33,이게 사고가 안나네 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ,1,1.0
2024-05-19 22:04:35,개는 짖어도 막스는 달린다,고고혓,1,1.0
2024-05-19 22:04:36,미끌레 스타트부터 미끌 ㅋㅋㅋ,그립 찾아서 다행이지 참,1,1.0
2024-05-19 22:04:40,자러갑시다 ㅋㅋㅋ,ㅅㄱ,1,1.0
2024-05-19 22:04:42,막가놈 어휴,아,1,1.0
2024-05-19 22:04:45,어우막이네 ㅈㅈ,,1,1.0
2024-05-19 22:04:46,이게 사고가 안나??,,1,1.0
2024-05-19 22:04:46,막스 우승!! ㅋㅋ,ㅈㅈ,1,1.0
2024-05-19 22:04:48,캐스터 너무 심하네,어휴,1,1.0
2024-05-19 22:04:48,오늘 강수확률 없냐,비와라,1,1.0
2024-05-19 22:04:50,겜끝ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,1,1.0
2024-05-19 22:04:51,막가놈땜에 또 개노잼 되겠네,쉬벌,1,1.0
2024-05-19 22:04:56,알론소는 왜케 뒤쳐졌냐?,- dc official App,1,1.0
2024-05-19 22:04:58,"FIA, 네덜란드 국가연주 준비중",,1,1.0
2024-05-19 22:05:03,F1 마이너 갤러리는 베르스타펜의 우승을 확정하겠습니다,정말 눈물이 납니다,1,1.0
2024-05-19 22:05:05,와 첫랩을 이렇게 깔끔하게 가네,ㅋㅋㅋ,1,1.0
2024-05-19 22:05:07,알론소 방끔 밀린거임?,ㅋㅋㅋㅋ,2,2.0
2024-05-19 22:05:08,벌써 노잼이면 개추,"ㅇㄷㄴㅂㅌ ㅋㅋ
- dc official App",2,2.0
2024-05-19 22:05:10,노잼각 씨게 보이노 ㅋㅋ,ㅋㅋ,2,2.0
2024-05-19 22:05:17,다봤노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-05-19 22:05:18,오늘 F1 재미있었다,막스 우승 축하한다,2,2.0
2024-05-19 22:05:20,레이스 다봤노,,2,2.0
2024-05-19 22:05:21,멕라렌 팬인데 그냥 씻고 올까,"ㅇㅇ
- dc official App",2,2.0
2024-05-19 22:05:22,자러간다ㅋㅋ,,2,2.0
2024-05-19 22:05:25,자러가도 될듯 ㅋㅋ,어우막 발동,2,2.0
2024-05-19 22:05:25,아 노잼,왜 노사고?,2,2.0
2024-05-19 22:05:23,오늘 레이스 요약 떴냐?,아제발,2,2.0
2024-05-19 22:05:30,1초차 안나는거 같은데,,2,2.0
2024-05-19 22:05:33,엪갤 일동은 이몰라 그랑프리 경기종료를 선언합니다,어우막 ㅅㅂ,2,2.0
