post_timestamp,post_title,post_content
2024-04-07 14:00:06,제발 몽골 리타,"제발 브레이크디스크든 엔진이든 뭐든 터졌으면 좋겠다
- dc official App"
2024-04-07 14:00:08,오늘자 스타트 타이어,
2024-04-07 14:00:26,적당히 막스 채코 더블리타 보여주는게 꿀잼이 될 수 있는 길이야,ㄹㅇ
2024-04-07 14:00:32,공주님 도메니칼리랑 같이 있네 ㅋㅋㅋ,
2024-04-07 14:00:38,레드불 팀오더 들어갔을까,"흠
- dc official App"
2024-04-07 14:00:40,홈 그랑프리면 더 이점이있음??,"트랙에 대한 정보가 더 많다던가
랩을 더 많이 돌아봤다던가"
2024-04-07 14:00:42,23년 멕시코 어게인?,막스도 얹어서 리타이어?
2024-04-07 14:00:48,제발 체코 어뢰…,
2024-04-07 14:00:52,현지시각으로 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-04-07 14:01:09,막스 체코 더블 포디움 가자 제발,"후
- dc official App"
2024-04-07 14:01:24,알론소만 소프트네,
2024-04-07 14:01:32,알론소 소프트ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:01:33,레드불이 그냥 팀오더 내리지 않았을까,"노잼레이스는 싫지만
팀 입장에선 그랬을거 같기도 한데"
2024-04-07 14:01:38,쿠팡 화질개선은 도대체 언제하냐??,1080p 해도 유튜브 1080보다 훨 좆구린데 도대체 이건 언제개선하냐?
2024-04-07 14:01:54,일본 유학중인 앱붕인데,"쿠플로 보고싶다 ㅠㅠㅠㅜ 나도 한국어 중계 듣고싶어?
VPN 키고 데이터로 봐도 인터넷 느림 ㅅㄱ 네트워크 확인하셈 하고 안되던데 ㅠㅠ"
2024-04-07 14:01:55,체코님 어뢰 한 번만 해주세요,제발요
2024-04-07 14:01:57,야 저거 서킷 8자교차구간 다리있잖아,"거기서 부딧혀서 다리 아래로 떨어지면 어쩌려고 저런 서킷을만듬?
예전에 뒤진놈도 거기서 떨어진거임?ㅇㅅㅇ"
2024-04-07 14:01:58,미미하소각이다 각이야,
2024-04-07 14:02:30,막둥이(막스 베르스타펀) 응원하는 막순이들은 개추!!ㅋㅋ,ㅇㄷㄴㅂㅌ!!ㅋㅋ
2024-04-07 14:02:26,알국왕 소프트인거 보니깐 P3 하실듯,ㄹㅇ
2024-04-07 14:02:40,병신들이 중계해줘도 지랄 ㅋㅋ,배가불렀노
2024-04-07 14:03:00,알국왕 로켓스타트 드가자ㅏ,
2024-04-07 14:03:29,ㅅㅂ 또 화질타령이야?,이거 맛좀 볼래?
2024-04-07 14:03:30,레이서 모공보고 딸칠거 아니면 화질지랄 ㄴㄴ,ㄹㅇ
2024-04-07 14:03:37,체코 제발 락업 어뢰 제브알!!!!!!!!,
2024-04-07 14:03:48,오늘 우승 맥스임,ㅇㅈ?
2024-04-07 14:03:49,자우버 리버리 진짜 좆같다,
2024-04-07 14:03:55,사고 드가자~~,
2024-04-07 14:04:06,사고 안 날듯.. 첫랩,
2024-04-07 14:04:11,해적으로 볼땐 화질이고 나발이고 끊기는게 좆같았는데 ㅋㅋ,ㅋㅋㅋ
2024-04-07 14:04:13,체코 트레인 만들어보자,막스 프리스탑
2024-04-07 14:04:13,포메이션랩때 사고난적있음?,궁금
2024-04-07 14:04:14,중연 ) 와 츠노다 P1 ㅋㅋㅋㅋㅋ,
2024-04-07 14:04:18,드가자 아아아아아,
2024-04-07 14:04:19,레드플랙 드개재,- dc official App
2024-04-07 14:04:19,자 레드플랙 드가즈 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-04-07 14:04:27,ㄷㄱㅈ ㅋㅋㅋㅋ,"+ dc official App
- dc official App"
2024-04-07 14:04:29,ㄷㄱㅈ ㄷㄱㅈ,ㅋㅋ
2024-04-07 14:04:39,누잼 ON,
2024-04-07 14:04:41,좆망 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:04:47,이거지 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ
2024-04-07 14:04:47,알본 또 ㅋㅋ,
2024-04-07 14:04:47,알본 멸망 ㅋㅋ,- dc official App
2024-04-07 14:04:49,알본 사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-04-07 14:04:50,알본 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:04:51,알본사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:04:52,막스 우승 컄ㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋㅋㅋ
- dc official App"
2024-04-07 14:04:53,사고오오오오오오,
2024-04-07 14:04:53,윌리엄스 또 너야?,
2024-04-07 14:04:54,황본 사망 ㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:04:56,바로 레드플레그각ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:04:57,쿠팡의 저주 ㅋㅋㅋ,"알본 사망 ㅋㅋㅋㅋ
- dc official App"
2024-04-07 14:04:57,윌 좆망 ㅋㅋㅋㅋ,"ㅋㅋㅋㅋㅋ
- dc official App"
2024-04-07 14:04:58,똠 멸망ㅋㅋㅋㅋ,"ㅋㅋㅋㅋㅋ
- dc official App"
2024-04-07 14:04:58,개시발 레드불 두대 걍 사라지는거보소 ㅋㅋ,
2024-04-07 14:04:59,알본아웃 ㅋㅋㅋㅋ,
2024-04-07 14:05:01,^예비섀시전무^,병신들
2024-04-07 14:05:02,대런ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:02,쿠팡의 저주 ㅋㅋㅋㅋ,"+ dc official App
- dc official App"
2024-04-07 14:05:03,좆카도씨발아 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ
2024-04-07 14:05:03,쿠팡의저주 ㄷㄷ,
2024-04-07 14:05:04,쿠팡맨 알본 나락 ㅋㅋㅋ,ㅋㅋㅋ
2024-04-07 14:05:04,쿠팡이 쿠팡했네,- dc official App
2024-04-07 14:05:05,개노잼 사고 ㅋㅋ십ㅋㅋ,
2024-04-07 14:05:05,똠컷 ㅋㅋㅋㅋ,
2024-04-07 14:05:06,쿠팡의저주 ㅋㅋㅋㅋㅋ,대런도 끌고갔노
2024-04-07 14:05:06,레드 반갑고,- dc official App
2024-04-07 14:05:07,또 똠본 ㅋㅋㅋㅋㅋㅋㅋ,쿠팡의저주 ㅋㅋㅋㅋㅋㅋ
2024-04-07 14:05:07,알본쿠팡저주입갤ㅋ,ㅋ
2024-04-07 14:05:08,레드 입갤 ㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:08,대런 좆망 ㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:08,알본이 일본에서 좆본 ㅋㅋㅋ,- dc official App
2024-04-07 14:05:09,레드플랙 ㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:09,레드플렉,아ㅅㅂㅋㅋ
2024-04-07 14:05:10,똠양꿍 아웃,- dc official App
2024-04-07 14:05:10,또본ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,거기에 리카도 ㅈ망ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-04-07 14:05:10,신한카드 오열ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅅㅂ
2024-04-07 14:05:11,레드플랙 입갤 ㅋㅋㅋㅋ,- dc official App
2024-04-07 14:05:12,막스 부스터 썻노 뭔 ㅋㅋㅋㅋㅋ,뭐야 시발 ㅋㅋ 혼자 다른차던데 ㅋㅋㅋ
2024-04-07 14:05:13,씹카도 아웃 ㅋㅋㅋ,
