post_timestamp,post_title,post_content
2024-08-25 22:00:00,유죄남은 역대급이다 ㅋㅋㅋㅋ,
2024-08-25 22:00:21,시작 전에 올려드리자,"대 종 신
- dc official App"
2024-08-25 22:00:24,중계 연습) 노리스가 8위로 추락합니다!!!,
2024-08-25 22:00:27,독기에 찬 투무브 ㄷㄷ,
2024-08-25 22:00:39,안캐쇼 ㅁㅊㅋㅋ 연말에 모음집 누가 만들어줬으면ㅋㅋ,지난주 방학 때 보니까 레알 마드리드 경기에서도 해설 비슷하게 하더라ㅋㅋ
2024-08-25 22:00:47,부우웅~~,ㄷㄱㅈ~
2024-08-25 22:00:50,ㅅㅂ 포메이션 랩 스타트부터 따이노ㅋㅋ,- dc official App
2024-08-25 22:00:52,피아제가 뒤에 있는 노xx <- 스타트 디버프 존나 쎔,- dc official App
2024-08-25 22:00:52,정찰랩 안도나 이번엔?,음
2024-08-25 22:00:55,포메이션 스타트도 막스가 빠르네,흐음..
2024-08-25 22:00:56,자우버 유쾌한 반란 기원,드가자
2024-08-25 22:00:58,츠햄보 소프트 ㅋㅋㅋ,
2024-08-25 22:01:02,쿠플은 안캐쇼 하이라이트를 올려라,- dc official App
2024-08-25 22:01:05,막스 ㅎㅇㅌ,우승가즈아
2024-08-25 22:01:15,"츠노다햄보 소프트 스타트, 케이막 하드 스타트",나머지 전부 미디엄 스타트
2024-08-25 22:01:17,방학 다 지났노,내 방학도 씨발!!!!!!!
2024-08-25 22:01:20,타이어 예상가능전락 찍어놈,"참고 ㄱㄱ
- dc official App"
2024-08-25 22:01:24,미하소가 국룰인가,미소소로도 갈 수 있나?
2024-08-25 22:01:27,스타트 예측 해봄,"1코너후 피 막 노
예상해본다
노리스 또 막가놈 막다가 처짐
- dc official App"
2024-08-25 22:01:28,포랩입갤 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
2024-08-25 22:01:32,쥬지 또 도박가나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-08-25 22:01:42,4.5만 자전거 관중은ㅋㅋㅋㅋㅋ,
2024-08-25 22:01:47,쉬프팅하는거 처음보네,
2024-08-25 22:01:48,얼마만의 레이스인가 크,
2024-08-25 22:01:47,어제부터 소리 나만 이상함?,차 지나갈 때 공기소리 ㅈㄴ 들리는 느낌이노
2024-08-25 22:01:54,시발 츠노다 소프트 50랩 함 해봐?,안될거 머있노?
