post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-07-07 23:00:00,과연 두시간 뒤 엪버거 몇발이나 뿌려질까,최대 관전 포인트임,Before Lap,
2024-07-07 23:00:01,안캐 << 종신해야되면 개추 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ,Before Lap,
2024-07-07 23:00:02,메르스,"원투 가능?,,",Before Lap,
2024-07-07 23:00:04,반반 재미많이는 ㅅㅂㅋㅌㅋㅋ,ㅋㅋㅋㅋ,Before Lap,
2024-07-07 23:00:05,헐크 포디움가고 성불하자,ㅎㅎ,Before Lap,
2024-07-07 23:00:06,반반 재미많이 ㅇㅈㄹ ㅋㅋㅋㅋㅋ,,Before Lap,
2024-07-07 23:00:14,반반 재미많이는 씨발 준비한것도 아닐텐데 ㅋㅋㅋㅋㅋㅋㅋ,센스 ㅁㅊ,Before Lap,
2024-07-07 23:00:23,훨켄은 포디움 한번도 없었음?,!,Before Lap,
2024-07-07 23:00:24,맨트 진짜 ㅋㅋㅋ,,Before Lap,
2024-07-07 23:00:29,노리스 대가리 입갤 ㅋㅋ,ㅋㅋㅋ,Before Lap,
2024-07-07 23:00:30,드가자~~~~~~,- dc official App,Before Lap,
2024-07-07 23:00:40,포메이션 랩 입갤 ㅋㅋㅋㅋㅋ,,Before Lap,
2024-07-07 23:00:48,메르 오늘박살날듯,1 2위싸움하다 메르끝나고 막스우승ㅇㅇ,Before Lap,
2024-07-07 23:00:51,두기제 ㅋㅋㅋㅋㅋㅋ,,Before Lap,
2024-07-07 23:00:52,드가자드가자,,Before Lap,
2024-07-07 23:00:57,주관우 오콘 소프트네,,Before Lap,
2024-07-07 23:01:01,Serg20 Perez,,Before Lap,
2024-07-07 23:01:03,‼+한명 꼬라박을것 같으면 개추 ㅋㅋㅋ,,Before Lap,
2024-07-07 23:01:06,트레일러 보고왔는데,빵형은 언제늙냐,Before Lap,
2024-07-07 23:01:07,영화촬영 ㅋㅋㅋ,,Before Lap,
2024-07-07 23:01:09,드가자ㅏㅏㅏㅏ,두개재ㅐ,Before Lap,
2024-07-07 23:01:14,병신 왜 20그리드임?,"페널티 먹음?
가슬리가 엔진까지 통짜로 갈아서 그리드 페널티 먹었던거 아인교",Before Lap,
2024-07-07 23:01:22,체코는 왜 하드,하 소 가려고하나,1,1.0
2024-07-07 23:01:22,아직 촬영 덜했나보네 ㅋㅋ,,1,1.0
2024-07-07 23:01:26,영화 작년에도 한 거 아니었노?,,1,1.0
2024-07-07 23:01:26,방금 피아제 미끌하지않았냐,,1,1.0
2024-07-07 23:01:29,엪갤 p7 스타트,국내 카를로스 사인츠 갤러리,1,1.0
