post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,LABEL_0,LABEL_4,LABEL_1,LABEL_5,LABEL_3,LABEL_2
2024-05-19 22:00:07,길막하고 3그리드?,"5그리드 해야제
사람 한명 인생 망쳤는데
- dc official App",Before Lap,,"길막하고 3그리드? 5그리드 해야제
사람 한명 인생 망쳤는데
- dc official App",길막하고 3그리드? 5그리드 해야제 사람 한명 인생 망쳤는데,0.25006505846977234,0.2196977734565735,0.19779221713542938,0.18387949466705322,0.08945254981517792,0.05911293998360634
2024-05-19 22:00:16,착석 완료,두걔쟤,Before Lap,,착석 완료 두걔쟤,착석 완료 두걔쟤,0.055456217378377914,0.0406363382935524,0.1109456717967987,0.06465907394886017,0.7010164260864258,0.027286283671855927
2024-05-19 22:00:17,쿠팡 세나랑 막스랑 어깨 나란히 한다 하는데,"막스가 존나 좆사기 캐릭터는 맞는데
그래도 세나랑 동급은 아니지 않음?
- dc official App",Before Lap,,"쿠팡 세나랑 막스랑 어깨 나란히 한다 하는데 막스가 존나 좆사기 캐릭터는 맞는데
그래도 세나랑 동급은 아니지 않음?
- dc official App",쿠팡 세나랑 막스랑 어깨 나란히 한다 하는데 막스가 존나 좆사기 캐릭터는 맞는데 그래도 세나랑 동급은 아니지 않음?,0.1655859649181366,0.11649972200393677,0.23857757449150085,0.30849242210388184,0.0835462212562561,0.08729808777570724
2024-05-19 22:00:18,앱 텔레메트리,"공식앱이랑 멀티뷰어랑 1분 차이나노
영상도 1분차이 ㅋㅋ
- dc official App",Before Lap,,"앱 텔레메트리 공식앱이랑 멀티뷰어랑 1분 차이나노
영상도 1분차이 ㅋㅋ
- dc official App",앱 텔레메트리 공식앱이랑 멀티뷰어랑 1분 차이나노 영상도 1분차이 ㅋㅋ,0.12716060876846313,0.06657727062702179,0.2894912660121918,0.2715142071247101,0.1631581038236618,0.08209850639104843
2024-05-19 22:00:33,알론소 소프트 스타트 미친놈 ㅋㅋㅋㅋㅋ,,Before Lap,,알론소 소프트 스타트 미친놈 ㅋㅋㅋㅋㅋ ,알론소 소프트 스타트 미친놈 ㅋㅋㅋㅋㅋ,0.06356438994407654,0.029355360195040703,0.12190904468297958,0.09487861394882202,0.6632768511772156,0.02701571211218834
2024-05-19 22:00:31,레이스 스타트 타이어 정리,,Before Lap,,레이스 스타트 타이어 정리 ,레이스 스타트 타이어 정리,0.08047325164079666,0.04794006794691086,0.19285745918750763,0.15125824511051178,0.4862922132015228,0.04117875546216965
2024-05-19 22:00:42,대라렌 가즈아,가즈아,Before Lap,,대라렌 가즈아 가즈아,대라렌 가즈아 가즈아,0.059294428676366806,0.04078976809978485,0.11986906081438065,0.07919270545244217,0.6721537709236145,0.028700249269604683
2024-05-19 22:00:45,알론소 : 오늘 점수따기 힘들다.,"인터뷰 요약
- 좋든 싫든 우린 점수 따기 힘들다.
- 이번 경기는 사실상 연습세션이다.
- 몇 가지 결론을 내리고 레이스 마치길 바란다.
출처 : lap by lap
* 영어실력 딸려서 의역 좀 있음
- dc official App",Before Lap,,"알론소 : 오늘 점수따기 힘들다. 인터뷰 요약
- 좋든 싫든 우린 점수 따기 힘들다.
- 이번 경기는 사실상 연습세션이다.
- 몇 가지 결론을 내리고 레이스 마치길 바란다.
출처 : lap by lap
* 영어실력 딸려서 의역 좀 있음
- dc official App",알론소 : 오늘 점수따기 힘들다. 인터뷰 요약 - 좋든 싫든 우린 점수 따기 힘들다. - 이번 경기는 사실상 연습세션이다. - 몇 가지 결론을 내리고 레이스 마치길 바란다. 출처 : lap by lap * 영어실력 딸려서 의역 좀 있음,0.10313425213098526,0.12801559269428253,0.3241296410560608,0.17975680530071259,0.18656963109970093,0.0783941000699997
2024-05-19 22:00:55,페레즈는 하드네,,Before Lap,,페레즈는 하드네 ,페레즈는 하드네,0.1035943403840065,0.055598098784685135,0.2876800000667572,0.285096138715744,0.19139927625656128,0.07663217931985855
2024-05-19 22:00:56,근데 세나 죽은거,탐부렐로에 타이어 월만 있었어도 안 죽었음?,Before Lap,,근데 세나 죽은거 탐부렐로에 타이어 월만 있었어도 안 죽었음?,근데 세나 죽은거 탐부렐로에 타이어 월만 있었어도 안 죽었음?,0.13079829514026642,0.08043614029884338,0.2047976851463318,0.34853312373161316,0.1147158220410347,0.12071888893842697
