Lap_Label,Comment_Count
Before Lap,2
1.0,10
2.0,12
3.0,27
4.0,28
5.0,70
6.0,115
7.0,116
8.0,73
9.0,37
10.0,35
11.0,79
12.0,47
13.0,42
14.0,39
15.0,19
16.0,17
17.0,28
18.0,66
19.0,84
20.0,68
21.0,31
22.0,30
23.0,17
24.0,18
25.0,32
26.0,32
27.0,18
28.0,20
29.0,24
30.0,20
31.0,52
32.0,18
33.0,25
34.0,17
35.0,21
36.0,18
37.0,32
38.0,43
39.0,39
40.0,17
41.0,30
42.0,13
43.0,14
44.0,16
45.0,16
46.0,30
47.0,41
48.0,15
49.0,14
50.0,16
51.0,14
52.0,13
53.0,26
54.0,19
55.0,21
56.0,14
57.0,13
58.0,38
After Lap,853
