post_timestamp,post_title,post_content
2024-12-08 22:00:00,러셀 몽골 레슬링 ㅋㅋㅋ,존버
2024-12-08 22:00:01,오늘 몽골이 맥라렌 두대 박으면 엪갤 터지냐,
2024-12-08 22:00:04,열차짤 만든 엪붕이 좋아죽겠노 ㅋㅋㅋㅋㅋㅋㅋ,"안캐 샤라웃 ㅋㅋㅋㅋ
- dc official App"
2024-12-08 22:00:08,오늘 준비 엄청 하셨네ㅋㅋㅋㅋㅋㅋ,- dc official App
2024-12-08 22:00:13,야스 마리나 서킷이 전형적인 틸케 드롬은 아니냐?,아니면 결국 좆노잼 병신이냐?
2024-12-08 22:00:24,오프닝영상은 전시즌 순위 순서인가?,가만보면 막스가 맨날 막타에 나오는듯해서
2024-12-08 22:00:26,안캐햄 갤질 좀 그만하십쇼,갤에서 한캐 여론 좋으니까 준비 빡세게 해온거 티납니다
2024-12-08 22:00:36,연습) 르끌 p1 p1,캬ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-12-08 22:00:39,like이세돌/따거/밀턴이형해줄게/승리의 맥열차,미치겠네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-12-08 22:00:40,경기다보고 3년전아부다비봐야겠다,ㄹㅇ
2024-12-08 22:01:05,맥라렌 움직임만 봐도 게임은 끝이네,원투로 끝날듯
2024-12-08 22:01:07,르끌 걍 부품 다갈아버릴줄 알았는데 걍 19그리드 스타트하네..,"흠
- dc official App"
2024-12-08 22:01:07,맥라렌의 컨챔 승리를 미리 축하합니다,
2024-12-08 22:01:11,아부다비 원래 밤에 하는거 아님??,"맨날 하이라이트나 본질보면
막화 아부다비는 항상 밤이던데
경기 끝날때쯤 어둑해짐?"
2024-12-08 22:01:12,드라이버 연말사진,
2024-12-08 22:01:22,해밀턴 하드 뭐냐,
2024-12-08 22:01:24,드림컴트루 ㄷㄷ,ㄷㄷㄷ
2024-12-08 22:01:25,드림스 컴 트루 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-12-08 22:01:27,안캐한테 디엠 보내서 엪갤 알려준 갤럼 있지 않았냐 ㅋㅋㅋㅋ,쌍따봉을 드립니다 ㅋㅋㅋㅋ
2024-12-08 22:01:27,콜라 유언 ㅠㅠ,
2024-12-08 22:01:27,콜라 애잔하네..,
2024-12-08 22:01:28,유언이노,ㅜ
2024-12-08 22:01:28,유언ㅠㅠㅠㅠ,ㅋㅋㅋ
2024-12-08 22:01:26,콜라 고별 인사ㅠㅠㅠ,
2024-12-08 22:01:28,두한은 암것도안해도 17이네,
2024-12-08 22:01:29,콜라: 고맙다,
2024-12-08 22:01:30,드림컴트루 ㅠㅠ,
2024-12-08 22:01:32,콜라는 이제 어디 가노,
2024-12-08 22:01:34,콜라 유언남기노..,잘가라..
2024-12-08 22:01:35,콜라 유언ㅠㅠ,
2024-12-08 22:01:37,콜라 왜 우는 목소리냐 ㅋㅋㅋㅋㅋ,
2024-12-08 22:01:44,콜라핀토 ㅠㅠ,".
- dc official App"
2024-12-08 22:01:43,콜라곰은 북극으로,ㅇㅇ
2024-12-08 22:01:44,콜라... 잘가,
2024-12-08 22:01:45,유언이노ㅠㅠ,- dc official App
2024-12-08 22:01:48,너의 꿈이 이뤄졌으니 다른 이의 꿈도 이뤄줘라,ㅋㅋㅋ
2024-12-08 22:01:52,울컥하네..,ㅇㅇ..
2024-12-08 22:01:55,콜바오 가지마,- dc official App
2024-12-08 22:01:58,콜라 진짜 처음에 개잘하는줄 알았다..,파괴왕일줄이야..
2024-12-08 22:01:59,콜라 차만 안 부숴먹었어도..,
2024-12-08 22:02:01,물탕이의 단단한 ㅗㅜㅑ..,하드타이어
2024-12-08 22:02:02,콜라핀토 지금 라디오하는거,리타할 거 같아서 미리 치는거야?
2024-12-08 22:02:05,콜라야 ㅠㅠㅠ,유언을 남기노 ㅠㅠ
2024-12-08 22:02:07,요트에서 경기 보는 부자들 부럽다,재미있을듯
2024-12-08 22:02:07,해밀턴이... 아부다비에서... 하드?,이거완전
2024-12-08 22:02:08,마제스핀 스트림 1번 사망,스트림 2 좆같은 30프레임...
2024-12-08 22:02:10,프론트 스타트에서 메르세데스행동 보고싶네,
2024-12-08 22:02:14,벌써 작별 ㅋㅋ,
2024-12-08 22:02:16,보타스도 유언ㅠㅠㅠㅠㅠㅠㅠ,
2024-12-08 22:02:18,보타스 ㅠㅠㅠㅠ,
2024-12-08 22:02:18,다 작별인사하노 ㅠㅠ,
2024-12-08 22:02:20,마지막 인사들 ㅜㅜ,
2024-12-08 22:02:21,보타스) 땡큐 페라리,
2024-12-08 22:02:22,씨발 유언 풍년이노,- dc official App
2024-12-08 22:02:27,보타스 ㅠㅠ,".
- dc official App"
2024-12-08 22:02:27,진짜 고마울까?,
2024-12-08 22:02:28,북딱스는 진짜 슬프네,
2024-12-08 22:02:27,보바오 가지마ㅠㅠ,- dc official App
2024-12-08 22:02:30,콜바오 진짜 첨에 포인트 따잇할때 오지긴 했는데,그 뒤로 미친 테러리스트가 될줄은 ㅜㅜ
2024-12-08 22:02:30,f2랑 슈퍼포뮬러는 어디가 윗급임?,"?
- dc official App"
2024-12-08 22:02:30,보타스 ㅠㅠ,
2024-12-08 22:02:31,유언이 많네...,
2024-12-08 22:02:34,2021 벨스타펀ㅋ ㅋㅋㅋㅋㅋㅋ,- dc official App
2024-12-08 22:02:37,체코야 넌 왜 인사 안하냐,
2024-12-08 22:02:48,보바오 가지마ㅠㅠㅠ,
2024-12-08 22:02:52,북딱스 가지마 ㅜㅜㅠㅠ,ㅠㅠㅠ
2024-12-08 22:02:55,보타스는 어디감?,- dc official App
2024-12-08 22:02:56,유언이 많은거 보니까 개판 경기 각이다,
2024-12-08 22:03:01,"체코 : 땡큐 레드불, 땡큐 RBPT",내년에도 잘해보자고!!
2024-12-08 22:03:05,나 솔직히 콜라 내년에도 볼줄 알았음,몇경기 찍 싸고 쫒겨날 줄이야
2024-12-08 22:03:07,근데 드챔 차이 존나 나네 씹ㅋㅋㅋ,누리스 애초에 먹기가 존나 힘들긴했네
2024-12-08 22:03:08,그래도 보타스는 인사라도 하고 가네,잘했는 못했든 리카도 오콘 사전트는 너무 갑작스러웠음
2024-12-08 22:03:09,혼돈과 카오스를 보여줘!!!,
