post_timestamp,post_title,post_content
2024-03-24 13:00:14,페라리 내년에,퇴물탕 메르 보내고 사인지 영입 안되냐??
2024-03-24 13:00:19,해밀턴 소프트라,
2024-03-24 13:00:30,소프트 쓰는 놈 3명이나 있네,저걸쓴다고?
2024-03-24 13:00:31,F1에서 아주 무섭게 느껴지는 것,"막스의 시대는 언젠간 끝나고
새로운 강점기를 열게 될 챔피언이 등장할 것이며
그 때 우리는 막스를 그리워하게 될 것 이라는거,,
DnD"
2024-03-24 13:00:33,물탕해 소프트 ㅋㅋ,
2024-03-24 13:00:34,물탕이 소프트 뭐노,ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-24 13:00:41,알론소 헐크 하드,해밀턴 리카도 저우 소프트
2024-03-24 13:00:58,물탕대런저우 소프트 알론소헐크 하드스타트,나머지 전부 미듐
2024-03-24 13:01:05,극단적인 선택 ㅋㅋㅋ,
2024-03-24 13:01:22,대부분 미하하 쓰겠네,ㅇㅇ
2024-03-24 13:01:36,소프트를 쓰노,
2024-03-24 13:01:44,뭐야 2시 아니었냐?,좆될뻔
2024-03-24 13:02:21,풍경 좋노 ㄹㅇ,함가보고싶네
2024-03-24 13:02:30,저건 또 언제적 사진이노ㅋㅋㅋㅋㅋㅋ,
2024-03-24 13:02:34,이게 행복이지 컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋㅋ
- dc official App"
2024-03-24 13:02:42,머야 랜도 왜 p3야,체코 어디감
2024-03-24 13:02:42,해밀턴 기도 메타 시작한거 보니까 페라리 딱인거 같기도,ㄹㅇㅋㅋ
2024-03-24 13:02:42,로슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-03-24 13:02:48,리카도 앳됐다 ㅋㅋㅋㅋ,
2024-03-24 13:02:49,로슨 빨리 시트 내놓으라는 표정이노,
2024-03-24 13:02:58,물탕이햄은 최근에 호주에서 우승 못했었네,
2024-03-24 13:02:59,팬카 밴먹었다고 하지 않았냐?,왜 다운포스 받는 속도 아닌데도 멀쩡하게 천장에 매달려있음?
2024-03-24 13:03:10,대런은 로슨한테 자리 넘겨야,"타이어 테스트 도르도 너무 우려먹었다 ㄹㅇ
- dc official App"
2024-03-24 13:03:14,잘해줘 보타스 젭알,
2024-03-24 13:03:29,딱 맞춰서 밥 다먹었다,섹스 출발 ㅋㅋ
2024-03-24 13:03:38,가자아아아아아,
2024-03-24 13:03:47,드가자~,ㅂ
2024-03-24 13:03:47,자 드가자 ~,
2024-03-24 13:03:51,ㄷㄱㅈ,
2024-03-24 13:03:51,드가자 ㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-03-24 13:03:52,레이스 스따뜨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-03-24 13:03:53,야스 출발ㄷㄷ,
2024-03-24 13:03:54,드가자 ㅋㅋㅋ,ㅋㅋ
