post_timestamp,post_title,post_content
2024-06-30 22:00:01,오늘은 잘해봅시다랑 나는 레드불이야 듣고 뛰어왔다,"시발 ㅋㅋㅋㅋㅋ
멍하니 보고있다가 존나터졌네 ㅋㅋㅋ"
2024-06-30 22:00:17,뭐노 저우는 하드네,
2024-06-30 22:00:22,저우만 하드타이어로 시작하네 ㄷㄷ,후발대들은 하드 시작할만하지않나
2024-06-30 22:00:26,오렌지 옷 메이커 돈 존나 벌었겠는데,뭐 죄다 1명도 빠짐없이 오렌지색
2024-06-30 22:00:26,응 나 레드불이야 너네들이 뭘 할 수 있는데?,"병신 ㅋ
- dc official App"
2024-06-30 22:00:31,오늘의 랜도는 다르다,"쇼 앤 프루브 한다
- dc official App"
2024-06-30 22:00:32,오늘 세카 몇번 나올거같음?,ㅈㄱㄴ
2024-06-30 22:00:44,시작하자마자 언덕 뭐노 ㅋㅋㅋㅋ,스키 슬로픈줄 알앗네
2024-06-30 22:00:51,츠노다 vs 노리스,"자나깨나 말조심 11노다
트로피 브레이커 노리스"
2024-06-30 22:00:56,그리드 소개 해외 역수출이 시급하다,해외 엪붕이들 자막 보면서 ㅈㄴ 쪼갤 듯
2024-06-30 22:01:02,소신발언) 홍염 없으니까 심심함,트랙에 던진 미친새끼들 있어서 금지는 이해하는데 좀 부족한느낌임
2024-06-30 22:01:07,짱유저우 하드스타트 ㅋㅋㅋㅋ,와
2024-06-30 22:01:23,스탠드가 주황색이노 ㅋㅋ,
2024-06-30 22:01:38,스파프랑코샹보다 레드불링이 높이차이심함??,레드불링 생각보다높아보이네
2024-06-30 22:01:42,노리스 비장함 개쩌는듯 팀원들 하나하나 주먹인사하네,"ㄷㄷㄷ
- dc official App"
2024-06-30 22:01:46,솔직히 이번 시즌 개꿀잼각이 병신 언제짤리냐였는데,김이 새는건 사실
2024-06-30 22:01:52,근데 이번주는 홍염 아예 못본듯,단속을 엄청 빡세게했나
2024-06-30 22:01:54,크아아악 나 레드불이라고!!!!!!,
2024-06-30 22:02:28,관중이 30만,대 박
2024-06-30 22:02:36,체코는 엪갤 아이돌 맞음 ㅋㅋㅋㅋ,체코 관련한 드립만 들어도 체코 웃겨 죽겠음 ㅋㅋㅋㅋ
2024-06-30 22:02:41,남친 몰래 F1 보기..,두근두근
2024-06-30 22:02:43,"""야는 코드불이야""",병신
2024-06-30 22:02:46,중연) 사인츠 로켓스타트,"P1 가즈아
- dc official App"
2024-06-30 22:03:02,스타트만 좀 봐야징,안늦었다
2024-06-30 22:03:10,강우확률 10% 드라이 확정,아오
2024-06-30 22:03:13,몽골 점마 또 차 틀었다,노리스 막으려고 이 악물었네
