post_timestamp,post_title,post_content
2024-07-28 22:00:01,리카도한테 왜그래이시발련들은 진짜,아오
2024-07-28 22:00:07,르끌레 화이팅,"제발 우승 가자
- dc official App"
2024-07-28 22:00:10,체코 오늘만 잘하면 용서가능하다 가보자,앞에서 버티고 막스 올라오고 가보자
2024-07-28 22:00:12,소프트면 오늘도 대런 나오겠노ㅋㅋ,ㅋㅋㅋ
2024-07-28 22:00:19,대런 한 5-7랩 달리다 GG 치고 핏인 각이노,ㅋㅋ
2024-07-28 22:00:18,르끌 우승 엪버거 간다,
2024-07-28 22:00:29,르끌 요즘 스타트 지리던데 왜 폴이니까 귀신같이 불안하냐ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ
2024-07-28 22:00:29,리카도 오늘도 전략 좆망각이냐,소프트로 도박해보나
2024-07-28 22:00:33,제 안에 저는 없습니다,이제 레드불밖에 없습니다.
2024-07-28 22:00:37,체코 우승각 나왔는데 막스랑 스왑하라고 지시 나올거같음..,몬가 느낌이 그럼.....
2024-07-28 22:00:39,체코 물탕한테 따이는거 몇랩 보냐 ㅇㅇ,ㅇㅇ
2024-07-28 22:00:39,♿+호주 이새끼들 뭐냐?,우리 체코 저격하는거지?
2024-07-28 22:00:45,가보자 르끌아,"가보자
- dc official App"
2024-07-28 22:00:46,비켜라 무관 샤를 르끌레르!,"헉
- dc official App"
2024-07-28 22:00:52,대황끌 가보자,
2024-07-28 22:00:54,사인즈만 하드?,마루.타인가
2024-07-28 22:00:54,베르스타펜의 차에서 연기 안남?,
2024-07-28 22:00:56,도련님 드가자 ㅋㅋㅋ,ㅌㅋ
2024-07-28 22:01:05,RB는 리카도 싫어함?,전에도 전략 땜에 억까 당하고 뭐냐 진짜
2024-07-28 22:01:05,저는 저를 버렸습니다,- dc official App
2024-07-28 22:01:05,폴투윈 가자 시발,
2024-07-28 22:01:09,사인치 하드뭐냐 ㅋㅋㅋ,또이산한전략핞
2024-07-28 22:01:13,하드타이어 스타트는 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,뭔생각이냐
2024-07-28 22:01:13,이정도면 인터 아니냐? ㅋㅋ,"색 반사되서 인터처럼 보이노
보타스 ㄷㄷ
- dc official App"
2024-07-28 22:01:18,3분만에 씻었다 휴,체코 화이팅
2024-07-28 22:01:22,혼자 소프트 스타트는 ㅅㅂ ㅋㅋㅋ,개웃기네 씨발거 ㅋㅋㅋ
2024-07-28 22:01:24,비켜라 쏘니?,무관보고 비키라는건 오랜만에 체코 우승하는거냐??
2024-07-28 22:01:27,리카도 소프트뭐임,돌아버린거냐 RB
2024-07-28 22:01:32,누가 하드임?,
2024-07-28 22:01:34,첫 스틴트도 엄청 길게 해놨네,15랩 ㄷㄷ
2024-07-28 22:01:35,소프트 자신있냐?,가능함?
2024-07-28 22:01:36,3~4스탑 나올꺼 같은데,"뭔가 뭔가임
- dc official App"
2024-07-28 22:01:41,미미소는 가능성 없나?,- dc official App
2024-07-28 22:01:42,체코 이러면 미하소소해야 되나?,막스도 이건 힘들텐데
2024-07-28 22:01:47,포메이션랩이 머에요?,F1 입문자라
2024-07-28 22:01:50,사인지 하드 =,르끌 폴투윈을 위한 강화재료로 사용할 예정 ㅋㅋ
2024-07-28 22:01:54,막스 파워유닛 10그리드 패널티임?,ㅇㅇ?
2024-07-28 22:02:05,38만명 지리긴하네... 인천 유치 제발,했으면좋겠다
2024-07-28 22:02:09,사인지 대런 관우 홍대픽 뭐냐,"하드 소프트 하드?
- dc official App"
2024-07-28 22:02:17,막스 왜 패널티임??,ㅇㅇ??
2024-07-28 22:02:24,대런 오늘 4스탑 할 듯ㅋㅋ,소프트 스타트는 첫 랩 개잘해도 망할 삘인데ㅋㅋ
2024-07-28 22:02:26,오늘 페라리 타이어 전략 유출 ㄷㄷㄷㄷㄷㄷ,미하소인하
2024-07-28 22:02:40,사인츠 몽골 담그는 재료로 쓰려고 저러냐,하드 뭔데
2024-07-28 22:02:51,막스 벨기에 쓰리핏ㅋㅋ,끔찍한 시간이였다
2024-07-28 22:02:52,미미하소 드가자~,마스터플랜 ㄱㄱ혓
2024-07-28 22:03:19,왠지 막스 스타트에 사고날거같다 ㅋㅋㅋㅋㅋㅋ,"음~
- dc official App"
2024-07-28 22:03:24,프레드 머리 다 빠졌노,- dc official App
2024-07-28 22:03:36,빠바바바밤 빠바밤!,- dc official App
2024-07-28 22:03:36,이게 다 레드불로 올리기 전 억까를 통한 멘탈 훈련이라 믿는다,아님말고
2024-07-28 22:03:41,자자 시작해봅시다,- dc official App
2024-07-28 22:03:44,하나둘셋 체코 화이팅!!!!!,
2024-07-28 22:03:46,벨기에는 폴포지션이 안좋다던데,
2024-07-28 22:03:52,국왕님 로켓스타트 드가자~,
2024-07-28 22:04:05,오늘 눈나 왜 한 자리 옆에 앉았냐,저번에 즙짤라 그래서 그랬나
2024-07-28 22:04:06,팀킬의 제왕 오콘 레이시스트 몽골견 때려잡는 오콘장군님 만세~,오늘도 fact로
2024-07-28 22:04:09,드가자~~~~~,
2024-07-28 22:04:14,ㄱㄱㄱㄱㄱㄱㄱㄱ,
2024-07-28 22:04:16,몽골 물탕한테 닿을때쯤 존나 지쳐있을듯 ㅋㅋ,오콘에 러셀에 사인지에 알론소에 노리스에 ㅋㅋㅋㅋ
2024-07-28 22:04:18,중연) 막스 충돌,"레드플레그 ON
- dc official App"
2024-07-28 22:04:22,ㄱㄱㄱㄱㄱ,ㄱㄱㄱ
2024-07-28 22:04:22,병신은 시작부터 삐딱하노,"병신의 기교인가
신의 전략인가"
2024-07-28 22:04:24,가속을~~~,ㄱㄱ
2024-07-28 22:04:26,츠노다 패널티는 왜받으?,ㅇㅇ?
2024-07-28 22:04:25,가보자 ㅋㅋㅋㅋ,
2024-07-28 22:04:27,스타트!!!,ㅋ
2024-07-28 22:04:27,가즈아,- dc official App
2024-07-28 22:04:28,드가자 시발ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ
2024-07-28 22:04:29,드가자,ㄱㄱ
2024-07-28 22:04:30,¡포기하지마! 개자식아!,"제발 씨발련아
- dc official App"
2024-07-28 22:04:30,F1 뉴빈데 질문좀요,"멕라렌 팀 컨스트럭터 이름이 왜 멕라렌메르세데스 인가요
- dc official App"
2024-07-28 22:04:34,드가자 ㅋㅋㅋㅋㅋㅋ,
2024-07-28 22:04:35,“괴물”,- dc official App
2024-07-28 22:04:38,ㅅㅅㅅㅅㅅㅅㅅ,
2024-07-28 22:04:39,햄 바로 따잇 ㅋㅋㅋ,
2024-07-28 22:04:42,ㅈ ㄷㄱㅈ~~~,
2024-07-28 22:04:43,드가자ㅏㅏㅏㅏ,시작!
2024-07-28 22:04:44,노리스 망 ㅋㅋㅋㅋㅋ,
2024-07-28 22:04:47,페레즈 병신무빙 ㅋㅋ,
2024-07-28 22:04:48,대 물 탕 ㅋㅋㅋㅋ,- dc official App
2024-07-28 22:04:50,경의 품격,- dc official App
2024-07-28 22:04:50,페레즈바로따잇 ㅋㅋㅋㅋ,
2024-07-28 22:04:51,피아제 또 영엳표시 한 듯ㅋㅋㅋ,
2024-07-28 22:04:51,아오 병신 ㅋㅋㅋㅋㅋㅋㅌㅌ,
2024-07-28 22:04:52,대물탕ㅋㅋㅋ,ㅋ
2024-07-28 22:04:52,병신 ㅋㅋㅋ,
2024-07-28 22:04:53,경의 품격 ㅋㅋㅋ,
2024-07-28 22:04:53,대물탕 ㅋㅋㅋ,
2024-07-28 22:04:54,체코 바로 따이네 ㅅㅂ,
2024-07-28 22:04:54,병신 바로컷 ㅋㅋㅋㅋㅋㅋ,
2024-07-28 22:04:55,아오 병신,ㅉ
2024-07-28 22:04:56,대 물 탕 ㅋㅋㅋㅋㅋㅋㅋ,
2024-07-28 22:04:57,체평ㅋㅋㅋㅋㅋㅋ,ㅋ
2024-07-28 22:04:57,대물탕ㅋㅋㅋ,- dc official App
2024-07-28 22:04:57,대 체 코,ㅋㅋ
2024-07-28 22:04:57,대 물 탕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅁㅊ
2024-07-28 22:04:57,대 밀 턴,
2024-07-28 22:04:58,대물탕 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ
2024-07-28 22:05:01,경의 품격 ㅋㅋㅋ,
2024-07-28 22:05:01,무리스 ㅋㅋㅋㅋ,
2024-07-28 22:05:01,병신 따잇ㅋㅋㅋㅋㅋㅋㅋ,
2024-07-28 22:05:00,병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-07-28 22:05:04,노리스 병신 또 밀려났네,"ㅇ아오
- dc official App"
2024-07-28 22:05:04,개 병 신,역시 그냥 체코는 병신이 맞다
2024-07-28 22:05:05,대 물 탕 ㅋㅋㅋㅋ,
2024-07-28 22:05:08,체코 시발ㅋㅋㅋㅋㅋㅋㅋ,진짜ㅋㅋㅋㅋㅋㅋ
2024-07-28 22:05:08,노리스멸망,"왜이러냐
- dc official App"
2024-07-28 22:05:08,대물탕 ㅋㅋㅋㅋㅋ,- dc official App
2024-07-28 22:05:08,병 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ
2024-07-28 22:05:09,안캐 뽀뽀해주고싶다 시발,ㅋㅋ
2024-07-28 22:05:09,대 물 탕 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ
2024-07-28 22:05:09,"오피셜) 역사상 최고, GOAT",- dc official App
2024-07-28 22:05:10,대밀턴ㅋㅋㅋㅋ,- dc official App
2024-07-28 22:05:10,어차피 르끌은 그냥 두면 알아서 내려옴;;,
2024-07-28 22:05:11,병신 따잇ㅋㅋㅋ,"개못하네 진짜
- dc official App"
2024-07-28 22:05:14,병신 ㅋㅋㅋㅋㅋ,
2024-07-28 22:05:14,무리스시발ㅋㅋㅋ,- dc official App
2024-07-28 22:05:14,역시 병신,"ㅋㅋㅋㅋ
- dc official App"
2024-07-28 22:05:16,뭐야 막스 어딨노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"이젠 뭐 먼저 출발하기 그런거냐
어우막이라서??"
2024-07-28 22:05:19,빡세노,스타트 개빡세네
2024-07-28 22:05:19,대물탕 ㅋㅋ,- dc official App
2024-07-28 22:05:20,노리스 저 정도면 차에 문제있는거 아니냐,매 그랑프리마다 저러는데
2024-07-28 22:05:26,노리스 스타트 진짴ㅋㅋㅋㅋ,
2024-07-28 22:05:27,대밀턴 ㅅㅂㅋㅋㅋㅋㅋ,- dc official App
2024-07-28 22:05:26,러셀도 올라왔나,
2024-07-28 22:05:36,노리스 병신새끼는 어떻게 스타트를 매번 조지냐,하
2024-07-28 22:05:37,병신 스타트부터 테러하듯이 들어오더만,뭐하노 ㅋㅋ
2024-07-28 22:05:42,역시 스타트 좆망은 무리스ㅋㅋ,ㅋㅋㅋ
2024-07-28 22:05:42,노리스 스타트 진짜 잼병이네,ㅋㅋㅋㅋ
2024-07-28 22:05:42,속보) 2025페라리 현재 원투 ㅋㅋㅋㅋㅋ,"ㅋㅋㅋ
- ???????"
2024-07-28 22:05:43,카도 아무 이득도 못었었?,
2024-07-28 22:05:44,노리스 이번엔 그래블행 ㅅㅂ ㅋㅋㅋ,ㅋㅋ
2024-07-28 22:05:44,이게 개판이 안나네,어휴 병싱 ㅠㅠㅠ
2024-07-28 22:05:47,와?! 페라리 원투 ㄷㄷ 황라리 미쳤다,
2024-07-28 22:05:56,노리스 진짜 스타트 개병신이네 ㅋㅋㅋㅋㅋ,- dc official App
2024-07-28 22:06:00,아니 시발 4위 피아제였어?ㅋㅋㅋ,노리스인줄 ㅋㅋ
2024-07-28 22:06:02,노리스는 매 그랑프리마다 저러네,뭐하노 ㅅㅂ
2024-07-28 22:06:02,노리스 3경기 연속 ㅈ망하넼 ㅋㅋㅋ,ㅋㅋㅋ
2024-07-28 22:06:08,시작하자마자 개판일 줄 알았는데,- dc official App
2024-07-28 22:06:08,어 형이야,형은 자리를 양보해
2024-07-28 22:06:08,25페라리 원투 ㅅㅅ,
