post_timestamp,post_title,post_content
2024-11-24 15:00:02,오늘 몽노대전 ㅈㄴ 기대되네 ㅋㅋ,리타만 하지말아라 ㅋㅋ
2024-11-24 15:00:14,타이어 정배 뭐임?,- dc official App
2024-11-24 15:00:17,체황 하드 도박간다,
2024-11-24 15:00:23,알국왕 소프트??,??
2024-11-24 15:00:23,병신 보타스 콜라 하드 국왕 소프트,제외 전부 미디엄
2024-11-24 15:00:29,드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-11-24 15:00:37,서킷 생김새 뭔가,"카트
빌리지고가맵 같이 생김"
2024-11-24 15:00:38,소프트 스타트는 뭐야 또 국왕님,?
2024-11-24 15:00:40,올해는 맨홀뚜껑 없노,
2024-11-24 15:00:44,와 19 20은 일자로 서있지도 못하네,대각선으로 서있는거 슬프노
2024-11-24 15:00:45,어제보다 따뜻하네?,오
2024-11-24 15:00:50,18도나 라니 ㅋㅋㅋ 개춥노 ㅋㅋㅋ,
2024-11-24 15:00:51,체코 존나미끌거리면서 왜 하드들고옴?,일부러 저러냐?
2024-11-24 15:00:55,몽골 리어윙 잘못된거 그대로임?,ㅇㅇ
2024-11-24 15:01:01,쥬지 우승 하자!!!,ㅅㅅ
2024-11-24 15:01:03,기온 18도면 메르 비상 아님?,엉뜨 다시 괴로울 온도ㅋㅋㅋ
2024-11-24 15:01:07,치킨 먹어야해서 중계 못 달림 ㅋㅋ,ㄷㄱㅈ ㅋㅋ
2024-11-24 15:01:10,타낙 ㅅㅂ 자력챔 할수있는것도 아니면 좀 사리지,아오
2024-11-24 15:01:19,메르 과열 각이네 ㅋㅋㅋ,
2024-11-24 15:01:21,18도면 다시 메르 엉뜨 이슈 나오나 ㅋㅋㅋ,
2024-11-24 15:01:24,와 저 비싼 티켓값이 30만명이면,얼마야
2024-11-24 15:01:31,콜라핀토 14그리드 아님?,반파되서 바꼈나?
2024-11-24 15:01:35,왜 레드불 온보드는 맨날 우주선 소리남?,평기어소리라 해도 다른팀에 비해 너무 큰거 아닌가
2024-11-24 15:01:55,오늘 원스탑 가능하냐?,- dc official App
2024-11-24 15:01:59,치킨 드가자,황올 드가자
