post_timestamp,post_title,post_content
2024-09-01 22:00:00,피자 드립은 뭐에여,이게 뭐에여??
2024-09-01 22:00:03,안캐는 진짜 매 그랑프리마다 드립이 고점을 갱신하네 ㅋㅋㅋ,
2024-09-01 22:00:06,하늘이 너무나 막습니다,ㅇ
2024-09-01 22:00:06,하늘이 너무나 막습니다,막스에요
2024-09-01 22:00:20,엪갤 스타팅 그리드,p9 p9
2024-09-01 22:00:30,ㄷㄱㅈㄷㄱㅈㄷㄱㅈ,"시동 걸어잇
- dc official App"
2024-09-01 22:00:39,온 하늘이 막스다,
2024-09-01 22:00:46,야메이션랩 코갤,"다들 미디엄 아님 하드 스타트네
- dc official App"
2024-09-01 22:00:50,아 안캐쇼 못들었어 씨불,"ㅇ
- dc official App"
2024-09-01 22:00:50,몇달전만 해도 비와서 혼돈의 레이스를 원했는데,"지금은 그냥 무난히만 가면 좋겠음
- dc official App"
2024-09-01 22:00:56,레드불 하드???,
2024-09-01 22:01:04,계속 쿠팡플레이가 응답하지 않는다고 뜨는데 이거 어케함?,대기 해도 30초마다 계속 나옴
2024-09-01 22:01:05,잠깐만요 입갤ㅋㅋㅋ,ㅋㅋ
2024-09-01 22:01:07,쿠팡 채팅 축리웹 냄새 좆되네,디시 똥문화 흡수해서 낄낄거리는 영포티나 칠법한 채팅이노
2024-09-01 22:01:07,몽골 이슈 ㅋㅋㅋㅋ,
2024-09-01 22:01:20,몬짜 피트윈도우,- dc official App
2024-09-01 22:01:23,레드불 하드ㄷㄷ,이거 크다
2024-09-01 22:01:25,레드불 전략<<<< 이제 기대도 안됨 ㅋㅋㅋㅋ,걍 크루징 할때나 잘한거지 요즘은 걍 그럼 ㅋㅋㅋㅋ
2024-09-01 22:01:28,연막탄 벌써 입갤ㅋㅋㅋㅋㅋㅋㅋ,
2024-09-01 22:01:34,병신듀오는 하드네,흠
2024-09-01 22:01:42,홍염ㅋㅋㅋㅋㅋ,
2024-09-01 22:01:47,누리스 오늘도 우승,누리스 드챔 가자
2024-09-01 22:01:58,홍염 벌써깠노 ㅋㅋ,ㅋㅋ
2024-09-01 22:02:03,오늘 관중 수,"33만 5천명
- dc official App"
2024-09-01 22:02:12,이제 해외 중계 생각도 안난다 ㅋㅋㅋㅋㅋ,쿠팡 오래가자
2024-09-01 22:02:17,드가자,막스 보여주자 이번에
2024-09-01 22:02:23,관중석 시뻘개~,
2024-09-01 22:02:37,콜라 오늘 포인트 따면 갤 터짐?,
2024-09-01 22:02:37,비구름 온다,
2024-09-01 22:02:37,사전트 망령인데도,"보타스보다 위라니 ㅋㅋㅋㅋ
- dc official App"
2024-09-01 22:02:41,관중석 시뻘건거 봐라,- dc official App
2024-09-01 22:02:38,쿠팡 채팅 축리웹 냄새 좆된다고?,"알빠노? ㅋㅋㅋㅋㅋㅋㅋㅋ
- dc official App"
2024-09-01 22:02:47,레드불가즈아!,레드불가즈아
2024-09-01 22:02:48,"사전트 ""0""",ㅋㅋㅋ
2024-09-01 22:02:53,비구름이 보이네?,.
2024-09-01 22:02:55,F3 가브리엘레 미니 실격,ㅋㅋㅋ
2024-09-01 22:02:58,사전트 아직 있노 ㅋㅋㅋㅋㅋㅋㅋ,
2024-09-01 22:02:58,오늘 안캐 발언 모음.zip,"'이 차는 이제 제겁니다'
'모두가 바라는 이 남자의 포디움!!'
'첫 번째 타겟은 팀메이트!'
'멕라렌 그거 어떻게 한건데'
'살아남았다는건 강하는것!'
'난 아직 페라리야'
'피자로 무게 추가'
'자 이제 누굴 밀거야'"
2024-09-01 22:03:07,저우보타스사전트콜라핀토가 동점이라는게 ㅈㅉㅇㅇ??,
2024-09-01 22:03:08,진짜 존나 개차빨 거품이었던 사람,"한나슈미츠<<<그냥 차가좋아서 무슨 전략 내도 딸깍하면 전략달성이었음ㅋㅋㅋ
- dc official App"
2024-09-01 22:03:09,남은 레이스 노리스 계속 우승이라 쳤을때,"대충 막스가 평균 몇등씩 해야 드챔 바뀜??
- dc official App"
2024-09-01 22:03:26,호너 표정 뭐고,
2024-09-01 22:03:31,호너 표정 어둡노ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-09-01 22:03:33,쥬지 승리시 앺버거 단품 하나,"메르견은
쥬지에
목숨을
걸겠다
길게받음"
2024-09-01 22:03:35,알국왕 로켓스타트라도 드가자,
2024-09-01 22:03:35,아니 시발 이제켰다,앞에 프리뷰쇼랑 안캐쇼 못봄 ㅠㅠㅠㅠ
2024-09-01 22:03:46,호너 얼굴주름 ㅈ되네,"많이힘들엇노
- dc official App"
2024-09-01 22:03:47,드가자,"불들어온다 ㅋㅋㅋ
- dc official App"
2024-09-01 22:03:43,짱개 뭐하노,
2024-09-01 22:03:48,가속을~~~~시작합니다!!!,- dc official App
2024-09-01 22:03:57,ㄱㄱㄱㄱㄱㄱㄱㄱ,
2024-09-01 22:04:06,노리스 스타트 조질 것 같으먼 개추,- dc official App
2024-09-01 22:04:09,드가자ㅋㅋㅋㅋㅋ,
