post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-12-02 01:00:02,오렌지 = 무관색 ㄷㄷㄷ,,Before Lap,
2024-12-02 01:00:02,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ,,Before Lap,
2024-12-02 01:00:04,안캐 vs 한캐,vs 기습 박캐,Before Lap,
2024-12-02 01:00:05,와 우승하면 파파야로 최초우승이냐,ㄹㅈㄷ네,Before Lap,
2024-12-02 01:00:10,온도 높으면 맥라렌이 더 유리한데,,Before Lap,
2024-12-02 01:00:19,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,Before Lap,
2024-12-02 01:00:23,눈에 독기가없네,- dc official App,Before Lap,
2024-12-02 01:00:25,스타트 이후 못따면 그대로 컨챔 확정.,"그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....
- dc official App",Before Lap,
2024-12-02 01:00:24,"""지난 세대""의 페라리의 영광.JPG",,Before Lap,
2024-12-02 01:00:27,온도가 높으면 메르 긴장아니냐,엉뜨이슈 on,Before Lap,
2024-12-02 01:00:36,본인 컴퓨터 화면 평가좀,이게 섹스지ㅋㅋ,Before Lap,
2024-12-02 01:00:51,헐크 하드가 먹혀서 포디움 갈듯..ㅇㅇ,,Before Lap,
2024-12-02 01:00:52,죠지 우승하면 4팀 4명 3승인데 이것도 최초임??,처음보는거같은데,Before Lap,
2024-12-02 01:01:03,???: 한장희보다는 안캐가 그립지 않냐?,"등록
- dc official App",Before Lap,
2024-12-02 01:01:13,5sec good luck,"ㅈㄴ WRC 24 하는느낌이네 ㅋㄲ
- dc official App",Before Lap,
2024-12-02 01:01:15,???:어이 엪갤!!,"거기까지만 하도록.....
- dc official App",Before Lap,
2024-12-02 01:01:50,페라리의 미미하라,"마지막 뭔가 하나 빠진거같네,,",Before Lap,
2024-12-02 01:02:21,"다들 ""안캐 그립다"" 한번씩 해줘",슬슬 서운하대..,Before Lap,
2024-12-02 01:02:23,포메이션 랩과 함께 츠노다 레드불 기원 7일차,포인트 따쟈 유키얌ㅠㅠ❤+,Before Lap,
2024-12-02 01:02:46,올해의 마지막에서 2번째 스타트,,Before Lap,
2024-12-02 01:02:50,슬슬 누구 하나 스핀할 때 된것같지 않냐?,,Before Lap,
2024-12-02 01:03:00,러버 존나 깔아놨네 ㅋㅋㅋㅋ,,Before Lap,
2024-12-02 01:03:01,관중 적으니까 솔드아웃이라하네 ㅋㅋㅋ,ㅋㅋㅋㅋ,Before Lap,
2024-12-02 01:03:17,알국왕 로켓스타트 드개재,,Before Lap,
