post_timestamp,post_title,post_content
2024-06-23 22:00:01,자지새끼 포디움이라도 들어가자,ㅇㅇ
2024-06-23 22:00:02,파도타기 ㄷㄷ,
2024-06-23 22:00:05,파도타기하노 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-06-23 22:00:12,체코야 어뢰한번가자,
2024-06-23 22:00:14,여태 잘봤는데 갑자기 못보겠다,맥라렌 팬인데 내가 왜 떨리냐ㄷㄷ
2024-06-23 22:00:17,스타트때 터진다,예상
2024-06-23 22:00:20,노리스 틱임?,머리 졸라 박네
2024-06-23 22:00:21,노리스 새거꼈네,
2024-06-23 22:00:27,근데 막스가 중고타이어 맞는거같ㅇ지않나 싶기도한데,막스 쟤는 걍 차를 잘 몰잖아 ㅅㅂ
2024-06-23 22:00:35,막스 헌 소프트냐?,광이 안 나는데
2024-06-23 22:00:42,레드불 둘 다 중고네 ㅇㅇ,
2024-06-23 22:00:44,와 스페인에도 페라리 팬 많네,"사인츠덕인가
- dc official App"
2024-06-23 22:00:45,중연) 해밀턴 일타 쌍피 ㄷㄷ,"노리스 몽골 사망 ㄷㄷㄷ
- dc official App"
2024-06-23 22:00:47,병신 뭔짓했길래 P11 스타트임?,- dc official App
2024-06-23 22:00:48,형은 오늘도 조기퇴근할거야,
2024-06-23 22:00:55,가자드가자,ㄷㄱㅈ
2024-06-23 22:00:57,사전트야 큰 기대 안 한다 차만 부수지 마라,완주도 너한테는 잘한 거다…
2024-06-23 22:00:57,포메이션 랩 입갷 ㅋㅋㅋ,
2024-06-23 22:01:08,물탕도 썼던 소프트 같은데,- dc official App
2024-06-23 22:01:18,미미하소 깔깔,
2024-06-23 22:01:18,메르 소프트 남아있음?,
2024-06-23 22:01:20,루이스 해밀턴 경의 스페인GP 우승을 기원합니다.,신기록 가즈아!
2024-06-23 22:01:23,중연) 츠노다 우승ㅋㅋㅋㅋㅋ,컄ㅋㅋㅋㅋㅋㅋ
