Lap_Label,Comment_Count
Before Lap,292
1.0,18
2.0,45
3.0,92
4.0,67
5.0,47
6.0,53
7.0,55
8.0,55
9.0,19
10.0,37
11.0,25
12.0,21
13.0,15
14.0,24
15.0,21
16.0,32
17.0,31
18.0,23
19.0,36
20.0,58
21.0,32
22.0,49
23.0,93
24.0,46
25.0,87
26.0,34
27.0,25
28.0,43
29.0,32
30.0,34
31.0,58
32.0,41
33.0,46
34.0,22
35.0,38
36.0,130
37.0,83
38.0,47
39.0,47
40.0,46
41.0,91
42.0,73
43.0,62
44.0,41
45.0,22
46.0,22
47.0,38
48.0,31
49.0,60
50.0,40
51.0,45
52.0,44
53.0,104
54.0,41
55.0,131
56.0,58
57.0,63
58.0,49
59.0,68
60.0,102
61.0,75
62.0,161
63.0,174
64.0,295
65.0,208
66.0,109
67.0,135
68.0,164
69.0,166
70.0,134
After Lap,864
