Lap_Label,Comment_Count
Before Lap,59
1.0,43
2.0,33
3.0,14
4.0,18
5.0,16
6.0,31
7.0,13
8.0,18
9.0,29
10.0,39
11.0,28
12.0,30
13.0,21
14.0,28
15.0,17
16.0,12
17.0,46
18.0,71
19.0,27
20.0,32
21.0,27
22.0,11
23.0,34
24.0,41
25.0,22
26.0,28
27.0,46
28.0,17
29.0,18
30.0,33
31.0,32
32.0,20
33.0,33
34.0,18
35.0,15
36.0,23
37.0,27
38.0,28
39.0,27
40.0,24
41.0,16
42.0,34
43.0,23
44.0,14
45.0,9
46.0,26
47.0,41
48.0,21
49.0,15
50.0,48
51.0,26
52.0,39
53.0,43
54.0,82
55.0,53
56.0,76
57.0,71
58.0,59
59.0,62
60.0,82
61.0,94
62.0,30
63.0,87
After Lap,511
