Lap_Label,Comment_Count
Before Lap,28
1.0,146
2.0,117
3.0,68
4.0,24
5.0,51
6.0,26
7.0,30
8.0,69
9.0,66
10.0,69
11.0,28
12.0,31
13.0,42
14.0,40
15.0,122
16.0,32
17.0,38
18.0,29
19.0,15
20.0,44
21.0,17
22.0,15
23.0,11
24.0,102
25.0,37
26.0,18
27.0,19
28.0,35
29.0,34
30.0,81
31.0,48
32.0,48
33.0,34
34.0,245
35.0,241
36.0,137
37.0,78
38.0,56
39.0,70
40.0,192
41.0,205
42.0,85
43.0,51
44.0,108
45.0,101
46.0,144
47.0,137
48.0,61
49.0,71
50.0,49
51.0,57
52.0,46
53.0,54
54.0,76
55.0,53
56.0,67
57.0,49
After Lap,648
