Lap_Label,Comment_Count
Before Lap,59
1.0,45
2.0,76
3.0,95
4.0,45
5.0,52
6.0,48
7.0,44
8.0,38
9.0,56
10.0,34
11.0,61
12.0,48
13.0,93
14.0,53
15.0,53
16.0,25
17.0,99
18.0,96
19.0,37
20.0,40
21.0,40
22.0,28
23.0,31
24.0,42
25.0,62
26.0,41
27.0,64
28.0,49
29.0,39
30.0,65
31.0,67
32.0,52
33.0,80
34.0,49
35.0,36
36.0,28
37.0,41
38.0,56
39.0,31
40.0,43
41.0,60
42.0,67
43.0,72
44.0,24
45.0,26
46.0,74
47.0,32
48.0,107
49.0,82
50.0,48
51.0,120
52.0,47
53.0,83
54.0,47
55.0,48
56.0,28
57.0,43
58.0,53
59.0,71
60.0,41
61.0,27
62.0,54
After Lap,542
