Lap_Label,Comment_Count
Before Lap,48
1.0,104
2.0,33
3.0,99
4.0,34
5.0,37
6.0,21
7.0,18
8.0,18
9.0,33
10.0,28
11.0,21
12.0,44
13.0,33
14.0,39
15.0,101
16.0,60
17.0,83
18.0,28
19.0,75
20.0,31
21.0,35
22.0,33
23.0,35
24.0,50
25.0,41
26.0,33
27.0,31
28.0,34
29.0,35
30.0,32
31.0,14
32.0,33
33.0,14
34.0,28
35.0,88
36.0,29
37.0,20
38.0,15
39.0,25
40.0,21
41.0,21
42.0,37
43.0,28
44.0,35
45.0,17
46.0,24
47.0,69
48.0,41
49.0,50
50.0,35
51.0,37
52.0,26
53.0,37
54.0,31
55.0,36
56.0,19
57.0,22
58.0,20
59.0,36
60.0,23
61.0,23
62.0,23
63.0,32
64.0,19
65.0,17
66.0,55
After Lap,415
