Label,Memo,clean_text,Source_Race,ts
5,,계속 패랩 갱신하네 ㄷㄷ ㄷㄷ,Monza,2024-09-01 22:43:07
5,,메르 진짜 무섭네 ㄹㅇ,Belgium,2024-07-28 23:10:37
1,,좃카도 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ ㅋ,Monza,2024-09-01 22:29:52
5,,미디움들고 하드한테 따인거임? ??,Belgium,2024-07-28 22:42:23
0,,그래서 이새끼들 뭐한건데? 포디움도 못간건 시발 ㅋㅋ,Belgium,2024-07-28 23:26:57
1,,막스 drs 못열었노 ㅋㅋㅋ,Belgium,2024-07-28 22:39:47
3,,티포시 정신줄놓고 돌진 ㅋㅋㅋㅋ 씨2발달려 ㅋㅋㅋㅋ,Monza,2024-09-01 23:24:50
5,,피아제가 월챔감이노 ㅋㅋ 무섭노 ㅋㅋ,Belgium,2024-07-28 23:20:16
0,,컨챔은 그냥 따였네 씨빨,Monza,2024-09-01 23:43:44
4,,츠노다는 진짜 몬자랑 연이 없나 ㅋㅋㅅㅂ,Monza,2024-09-01 22:15:39
3,,우승 드가자 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,Monza,2024-09-01 23:14:02
3,,이러면 페라리 원투 가눙한가 ㅋㅋㅋ ㅋㅋㅋㅋㅋ,Monza,2024-09-01 23:06:07
3,,바쿠의 제왕 체코~,Monza,2024-09-01 23:47:58
3,,사인즈 존멋 ㅜㅜ ㅜㅜ,Monza,2024-09-01 23:06:59
5,,와 8랩 지났는데 차들 간격 좁은거 진짜 레전드네,Belgium,2024-07-28 22:18:18
3,,맘마미아!!!!!! 캬 ㅋㅋ,Monza,2024-09-01 23:20:41
3,,와 씨 ㅋㅋㅋㅋㅋ 야 페라리는 이러면 올해 할 거 다 한거 아니냐? ㅋㅋㅋㅋ,Monza,2024-09-01 23:15:07
3,,와 씨바ㅋㅋㅋㅋ 쥬지개추,Belgium,2024-07-28 23:24:37
3,,랩당 0.8초 섹스 ㅅㅅㅅㅅㅅ,Monza,2024-09-01 23:12:32
1,,르끌 이새끼 또 치팅한거 아니지? 요번엔 아니다?,Monza,2024-09-01 23:14:11
1,,체코 쟤는 짤리겠다 ㅋㅋ,Belgium,2024-07-28 23:12:40
3,,리카도 포인트권 ㅊㅊ 이번엔 좀 하네,Belgium,2024-07-28 23:12:15
5,,서킷 안에도 자갈 개많네ㅋㅋㅋ ㅋㅋ,Monza,2024-09-01 22:23:41
1,,하드하드는 뭔 병신같은 전략임 이건? 진짜 뭐임!,Monza,2024-09-01 22:38:32
0,,응 해밀턴 시발아 첫랩에 제치니깐 좋았지? 내년에 보자^^,Belgium,2024-07-28 23:35:43
1,,병신은 걍 병신하네..,Belgium,2024-07-28 23:14:55
1,,노리스야 표정 좀 풀어본나 ㅋㅋㅋㅋㅋㅋㅋ 니가 못했잖아..,Monza,2024-09-01 23:41:00
3,,드가자 ㅋㅋㅋㅋㅋㅋ,Belgium,2024-07-28 22:04:34
2,,후반기가 걱정되는 하스단이면 개추 스파 이렇게까지 좆박을줄 몰랐다... 여름방학때 절치부심해서 RB따고 컨챔 6위 가보자,Belgium,2024-07-28 23:31:12
4,,피아제 원스탑 했으면 우승했을까? 진짜 ㅋㅋㅋㅋ,Belgium,2024-07-28 23:26:47
5,,피아제 페이스 왤케 좋노 ㅋㅋ,Monza,2024-09-01 22:47:04
