Label,Memo,clean_text,Source_Race,ts
3,,시발 쥬지 빨만하다 했제 아 도파민 존나도네,Austria,2024-06-30 23:47:59
5,,웅남이 14위 됐네,Austria,2024-06-30 23:49:21
0,,걍쳐박아버리노씨발ㅋㅋㅋㅋ,China,2024-04-21 16:54:04
1,,오늘자 병신 어 형은 1등차 타고 하스한테 따였어,Austria,2024-06-30 23:31:34
1,,기습병신 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:28:44
5,,오 딸깍없이 추월 ㅋㅋ ㅋㅋ,China,2024-04-21 16:11:43
3,,재밌다 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:06:24
0,,개트롤 뭐해시발 비켜 비켜,Austria,2024-06-30 23:09:32
0,,세카입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅅㅂ,China,2024-04-21 16:44:09
5,,1.9 2.0 ㅅㅂㅋㅋ 더블 3.9,China,2024-04-21 16:45:06
3,,쥬지 요즘 꾸준히 잘해서 함 우승할까 했는데 바로 해버리네 ㄹㅇ굿!!,Austria,2024-06-30 23:37:00
3,,개꿀잼레이스노 ㅋㅋ,China,2024-04-21 16:53:39
5,,대련놈 우주방어ㅋㅋㅋㅋ ㅋㅋㅋㅋ,China,2024-04-21 16:40:20
0,,씨발뭐냐?,Austria,2024-06-30 23:04:10
0,,뭐하노 ㅅㅂ,China,2024-04-21 16:42:57
4,,르끌 포인트는 못먹었네 아쉽노,Austria,2024-06-30 23:27:29
3,,황끌 부활 ㅋㅋㅋㅋ,China,2024-04-21 16:40:24
1,,10초 뭐노 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:07:24
3,,중국 GP <<<<<< 꿀잼 ㅎㅎ,China,2024-04-21 16:53:34
4,,르끌 ㅠㅠ,Austria,2024-06-30 22:04:56
1,,운영꼬라지 ㅋㅋㅋㅋㅋ 이게뭐냐,China,2024-04-21 16:44:19
3,,레드불 팬인 내가 존나 신나는 이유 트리플헤더<<걍 뽀뽀 마려움ㅋㅋㅋ,Austria,2024-06-30 23:57:49
3,,조지러셀 우승 ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:19:28
3,,노리스 리타해서 기분좋은 티포시들은 개추 ㅋㅋ 컨챔 경쟁 ㅈ박을뻔했는데 막스가 살렸노 휴~,Austria,2024-06-30 23:29:17
1,,가지가지하는구나,China,2024-04-21 16:28:24
3,,차박이 퇴출 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,China,2024-04-21 16:58:25
0,,보타스씨발 리타이어야? 씨발 자우버 씨발,China,2024-04-21 16:50:13
4,,"피아야 제발 노리스 5초 취소 해줘라,, 넘 슬프다 다음 레이스 페널티까지 받으면,, “ㅇㅅㅁㅅ”",Austria,2024-06-30 23:36:48
3,,대트롤 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 22:59:07
5,,큰일날뻔 ㅋㅋ ㅋㅋ,Austria,2024-06-30 22:52:51
3,,아니 노리스 따라잡히는데 ㅋㅋㅋ ㅋㅋㅋㅋ,China,2024-04-21 16:34:29
3,,입모양 ‘0’하고 웃으면서 달리는 쥬지면 개추ㅋㅋ,Austria,2024-06-30 23:24:06
3,,막스 스타트좋노 ㅋㅋ,China,2024-04-21 16:04:20
3,,갓 세이브 더 킹 ㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:43:18
3,,P2! 우오!우오!우오!,China,2024-04-21 17:47:16
0,,알핀 팬 나말고 없냐 씨발,Austria,2024-06-30 22:48:28
0,,짱깨새끼들 개역겹네ㅡ씨발 그만 좀 해라,China,2024-04-21 17:51:17
1,,누리스 잘가라노 ㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:15:56
