LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-07-21 22:01:04.937,2024-07-21 22:02:38.989,20
2.0,2024-07-21 22:02:38.989,2024-07-21 22:04:05.233,20
3.0,2024-07-21 22:04:05.233,2024-07-21 22:05:31.794,20
4.0,2024-07-21 22:05:31.794,2024-07-21 22:06:57.394,20
5.0,2024-07-21 22:06:57.394,2024-07-21 22:08:22.852,20
6.0,2024-07-21 22:08:22.852,2024-07-21 22:09:48.552,20
7.0,2024-07-21 22:09:48.552,2024-07-21 22:11:16.130,20
8.0,2024-07-21 22:11:16.130,2024-07-21 22:12:43.634,20
9.0,2024-07-21 22:12:43.634,2024-07-21 22:14:09.192,20
10.0,2024-07-21 22:14:09.192,2024-07-21 22:15:34.047,20
11.0,2024-07-21 22:15:34.047,2024-07-21 22:16:58.831,20
12.0,2024-07-21 22:16:58.831,2024-07-21 22:18:23.564,20
13.0,2024-07-21 22:18:23.564,2024-07-21 22:19:48.667,20
14.0,2024-07-21 22:19:48.667,2024-07-21 22:21:13.979,20
15.0,2024-07-21 22:21:13.979,2024-07-21 22:22:40.074,20
16.0,2024-07-21 22:22:40.074,2024-07-21 22:24:05.570,20
17.0,2024-07-21 22:24:05.570,2024-07-21 22:25:32.626,20
18.0,2024-07-21 22:25:32.626,2024-07-21 22:26:58.954,20
19.0,2024-07-21 22:26:58.954,2024-07-21 22:28:24.972,20
20.0,2024-07-21 22:28:24.972,2024-07-21 22:29:49.832,20
21.0,2024-07-21 22:29:49.832,2024-07-21 22:31:15.135,20
22.0,2024-07-21 22:31:15.135,2024-07-21 22:32:41.782,20
23.0,2024-07-21 22:32:41.782,2024-07-21 22:34:06.834,20
24.0,2024-07-21 22:34:06.834,2024-07-21 22:35:32.808,20
25.0,2024-07-21 22:35:32.808,2024-07-21 22:36:57.730,20
26.0,2024-07-21 22:36:57.730,2024-07-21 22:38:22.743,20
27.0,2024-07-21 22:38:22.743,2024-07-21 22:39:47.695,20
28.0,2024-07-21 22:39:47.695,2024-07-21 22:41:13.026,20
29.0,2024-07-21 22:41:13.026,2024-07-21 22:42:40.406,20
30.0,2024-07-21 22:42:40.406,2024-07-21 22:44:07.623,20
31.0,2024-07-21 22:44:07.623,2024-07-21 22:45:32.539,20
32.0,2024-07-21 22:45:32.539,2024-07-21 22:46:56.663,20
33.0,2024-07-21 22:46:56.663,2024-07-21 22:48:21.806,20
34.0,2024-07-21 22:48:20.614,2024-07-21 22:49:47.100,19
35.0,2024-07-21 22:49:47.100,2024-07-21 22:51:12.657,19
36.0,2024-07-21 22:51:12.657,2024-07-21 22:52:37.086,19
37.0,2024-07-21 22:52:37.086,2024-07-21 22:54:02.558,19
38.0,2024-07-21 22:54:02.558,2024-07-21 22:55:27.667,19
39.0,2024-07-21 22:55:27.667,2024-07-21 22:56:51.867,19
40.0,2024-07-21 22:56:51.867,2024-07-21 22:58:16.277,19
41.0,2024-07-21 22:58:16.277,2024-07-21 22:59:42.079,19
42.0,2024-07-21 22:59:42.079,2024-07-21 23:01:05.880,19
43.0,2024-07-21 23:01:05.880,2024-07-21 23:02:29.938,19
44.0,2024-07-21 23:02:29.938,2024-07-21 23:03:54.145,19
45.0,2024-07-21 23:03:54.145,2024-07-21 23:05:18.744,19
46.0,2024-07-21 23:05:18.744,2024-07-21 23:06:45.314,19
47.0,2024-07-21 23:06:45.314,2024-07-21 23:08:09.741,19
48.0,2024-07-21 23:08:09.741,2024-07-21 23:09:36.188,19
49.0,2024-07-21 23:09:36.188,2024-07-21 23:10:59.683,19
50.0,2024-07-21 23:10:59.683,2024-07-21 23:12:23.726,19
51.0,2024-07-21 23:12:23.726,2024-07-21 23:13:46.934,19
52.0,2024-07-21 23:13:46.934,2024-07-21 23:15:10.112,19
53.0,2024-07-21 23:15:10.112,2024-07-21 23:16:33.347,19
54.0,2024-07-21 23:16:33.347,2024-07-21 23:17:57.188,19
55.0,2024-07-21 23:17:57.188,2024-07-21 23:19:20.513,19
56.0,2024-07-21 23:19:20.513,2024-07-21 23:20:44.236,19
57.0,2024-07-21 23:20:44.236,2024-07-21 23:22:08.190,19
58.0,2024-07-21 23:22:08.190,2024-07-21 23:23:31.865,19
59.0,2024-07-21 23:23:31.865,2024-07-21 23:24:55.533,19
60.0,2024-07-21 23:24:55.533,2024-07-21 23:26:19.310,19
61.0,2024-07-21 23:26:19.310,2024-07-21 23:27:42.974,19
62.0,2024-07-21 23:27:42.974,2024-07-21 23:29:06.925,19
63.0,2024-07-21 23:29:06.925,2024-07-21 23:30:31.998,19
64.0,2024-07-21 23:30:31.998,2024-07-21 23:31:57.434,19
65.0,2024-07-21 23:31:57.434,2024-07-21 23:33:22.349,19
66.0,2024-07-21 23:33:22.349,2024-07-21 23:34:46.116,19
67.0,2024-07-21 23:34:46.116,2024-07-21 23:36:09.903,19
68.0,2024-07-21 23:36:09.903,2024-07-21 23:37:33.984,19
69.0,2024-07-21 23:37:33.984,2024-07-21 23:38:58.504,19
70.0,2024-07-21 23:38:19.850,2024-07-21 23:39:43.644,11
