LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-05-19 22:03:36.608,2024-05-19 22:05:05.665,20
2.0,2024-05-19 22:05:05.665,2024-05-19 22:06:28.143,20
3.0,2024-05-19 22:06:28.143,2024-05-19 22:07:50.059,20
4.0,2024-05-19 22:07:50.059,2024-05-19 22:09:12.166,20
5.0,2024-05-19 22:09:12.166,2024-05-19 22:10:34.165,20
6.0,2024-05-19 22:10:34.165,2024-05-19 22:11:56.166,20
7.0,2024-05-19 22:11:56.166,2024-05-19 22:13:18.489,20
8.0,2024-05-19 22:13:18.489,2024-05-19 22:14:42.355,20
9.0,2024-05-19 22:14:42.355,2024-05-19 22:16:10.766,20
10.0,2024-05-19 22:16:10.766,2024-05-19 22:17:34.433,20
11.0,2024-05-19 22:17:34.433,2024-05-19 22:18:56.596,20
12.0,2024-05-19 22:18:56.596,2024-05-19 22:20:20.111,20
13.0,2024-05-19 22:20:20.111,2024-05-19 22:21:43.504,20
14.0,2024-05-19 22:21:43.504,2024-05-19 22:23:06.617,20
15.0,2024-05-19 22:23:06.617,2024-05-19 22:24:28.654,20
16.0,2024-05-19 22:24:28.654,2024-05-19 22:25:50.744,20
17.0,2024-05-19 22:25:50.744,2024-05-19 22:27:13.296,20
18.0,2024-05-19 22:27:13.296,2024-05-19 22:28:35.618,20
19.0,2024-05-19 22:28:35.618,2024-05-19 22:29:58.001,20
20.0,2024-05-19 22:29:58.001,2024-05-19 22:31:20.333,20
21.0,2024-05-19 22:31:20.333,2024-05-19 22:32:43.040,20
22.0,2024-05-19 22:32:43.040,2024-05-19 22:34:06.864,20
23.0,2024-05-19 22:34:06.864,2024-05-19 22:35:30.840,20
24.0,2024-05-19 22:35:30.840,2024-05-19 22:36:56.062,20
25.0,2024-05-19 22:36:56.062,2024-05-19 22:38:20.050,20
26.0,2024-05-19 22:38:20.050,2024-05-19 22:39:44.893,20
27.0,2024-05-19 22:39:44.893,2024-05-19 22:41:07.533,20
28.0,2024-05-19 22:41:07.533,2024-05-19 22:42:32.268,20
29.0,2024-05-19 22:42:32.268,2024-05-19 22:43:55.683,20
30.0,2024-05-19 22:43:55.683,2024-05-19 22:45:18.157,20
31.0,2024-05-19 22:45:18.157,2024-05-19 22:46:41.840,20
32.0,2024-05-19 22:46:41.840,2024-05-19 22:48:05.189,20
33.0,2024-05-19 22:48:05.189,2024-05-19 22:49:27.413,20
34.0,2024-05-19 22:49:27.413,2024-05-19 22:50:50.473,20
35.0,2024-05-19 22:50:50.473,2024-05-19 22:52:12.379,20
36.0,2024-05-19 22:52:12.379,2024-05-19 22:53:34.355,20
37.0,2024-05-19 22:53:34.355,2024-05-19 22:54:56.829,20
38.0,2024-05-19 22:54:56.829,2024-05-19 22:56:21.763,20
39.0,2024-05-19 22:56:21.763,2024-05-19 22:57:43.429,20
40.0,2024-05-19 22:57:43.429,2024-05-19 22:59:05.365,20
41.0,2024-05-19 22:59:05.365,2024-05-19 23:00:28.160,20
42.0,2024-05-19 23:00:28.160,2024-05-19 23:01:49.726,20
43.0,2024-05-19 23:01:49.726,2024-05-19 23:03:11.270,20
44.0,2024-05-19 23:03:11.270,2024-05-19 23:04:32.913,20
45.0,2024-05-19 23:04:32.913,2024-05-19 23:05:54.633,20
46.0,2024-05-19 23:05:54.633,2024-05-19 23:07:16.366,20
47.0,2024-05-19 23:07:16.366,2024-05-19 23:08:38.358,20
48.0,2024-05-19 23:08:38.358,2024-05-19 23:09:59.962,20
49.0,2024-05-19 23:09:59.962,2024-05-19 23:11:21.823,20
50.0,2024-05-19 23:11:21.823,2024-05-19 23:12:43.542,20
51.0,2024-05-19 23:12:43.542,2024-05-19 23:14:05.860,20
52.0,2024-05-19 23:13:57.510,2024-05-19 23:15:19.719,19
53.0,2024-05-19 23:15:19.719,2024-05-19 23:16:42.437,19
54.0,2024-05-19 23:16:42.437,2024-05-19 23:18:04.054,19
55.0,2024-05-19 23:18:04.054,2024-05-19 23:19:25.489,19
56.0,2024-05-19 23:19:25.489,2024-05-19 23:20:47.260,19
57.0,2024-05-19 23:20:47.260,2024-05-19 23:22:09.212,19
58.0,2024-05-19 23:22:09.212,2024-05-19 23:23:30.779,19
59.0,2024-05-19 23:23:30.779,2024-05-19 23:24:52.705,19
60.0,2024-05-19 23:24:52.705,2024-05-19 23:26:15.804,19
61.0,2024-05-19 23:26:15.804,2024-05-19 23:27:37.869,19
62.0,2024-05-19 23:27:37.869,2024-05-19 23:28:59.497,19
63.0,2024-05-19 23:28:10.125,2024-05-19 23:29:31.178,9
