LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-04-07 14:02:40.422,2024-04-07 14:05:17.565,20
2.0,2024-04-07 14:30:58.774,2024-04-07 14:33:57.814,18
3.0,2024-04-07 14:33:57.814,2024-04-07 14:36:21.216,18
4.0,2024-04-07 14:36:21.216,2024-04-07 14:37:59.913,18
5.0,2024-04-07 14:37:59.913,2024-04-07 14:39:38.417,18
6.0,2024-04-07 14:39:38.417,2024-04-07 14:41:18.269,18
7.0,2024-04-07 14:41:18.269,2024-04-07 14:42:58.152,18
8.0,2024-04-07 14:42:58.152,2024-04-07 14:44:38.763,18
9.0,2024-04-07 14:44:38.763,2024-04-07 14:46:17.322,18
10.0,2024-04-07 14:46:17.322,2024-04-07 14:47:56.113,18
11.0,2024-04-07 14:47:56.113,2024-04-07 14:49:35.379,18
12.0,2024-04-07 14:49:35.379,2024-04-07 14:51:17.478,18
13.0,2024-04-07 14:51:14.408,2024-04-07 14:52:55.825,17
14.0,2024-04-07 14:52:55.825,2024-04-07 14:54:35.756,17
15.0,2024-04-07 14:54:35.756,2024-04-07 14:56:14.912,17
16.0,2024-04-07 14:56:14.912,2024-04-07 14:57:56.061,17
17.0,2024-04-07 14:57:56.061,2024-04-07 14:59:36.789,17
18.0,2024-04-07 14:59:36.789,2024-04-07 15:01:15.235,17
19.0,2024-04-07 15:01:15.235,2024-04-07 15:02:53.707,17
20.0,2024-04-07 15:02:53.707,2024-04-07 15:04:33.006,17
21.0,2024-04-07 15:04:33.006,2024-04-07 15:06:11.366,17
22.0,2024-04-07 15:06:11.366,2024-04-07 15:07:50.806,17
23.0,2024-04-07 15:07:50.806,2024-04-07 15:09:36.468,17
24.0,2024-04-07 15:09:36.468,2024-04-07 15:11:14.949,17
25.0,2024-04-07 15:11:14.949,2024-04-07 15:12:52.352,17
26.0,2024-04-07 15:12:52.352,2024-04-07 15:14:30.274,17
27.0,2024-04-07 15:14:30.274,2024-04-07 15:16:09.869,17
28.0,2024-04-07 15:16:09.869,2024-04-07 15:17:47.156,17
29.0,2024-04-07 15:17:47.156,2024-04-07 15:19:24.707,17
30.0,2024-04-07 15:19:24.707,2024-04-07 15:21:02.191,17
31.0,2024-04-07 15:21:02.191,2024-04-07 15:22:39.773,17
32.0,2024-04-07 15:22:39.773,2024-04-07 15:24:17.800,17
33.0,2024-04-07 15:24:17.800,2024-04-07 15:25:58.404,17
34.0,2024-04-07 15:25:58.404,2024-04-07 15:27:40.459,17
35.0,2024-04-07 15:27:40.459,2024-04-07 15:29:20.278,17
36.0,2024-04-07 15:29:20.278,2024-04-07 15:30:56.699,17
37.0,2024-04-07 15:30:56.699,2024-04-07 15:32:34.453,17
38.0,2024-04-07 15:32:34.453,2024-04-07 15:34:11.724,17
39.0,2024-04-07 15:34:11.724,2024-04-07 15:35:48.143,17
40.0,2024-04-07 15:35:48.143,2024-04-07 15:37:25.380,17
41.0,2024-04-07 15:37:25.380,2024-04-07 15:39:04.121,17
42.0,2024-04-07 15:39:04.121,2024-04-07 15:40:41.638,17
43.0,2024-04-07 15:40:41.638,2024-04-07 15:42:17.584,17
44.0,2024-04-07 15:42:17.584,2024-04-07 15:43:53.744,17
45.0,2024-04-07 15:43:53.744,2024-04-07 15:45:29.867,17
46.0,2024-04-07 15:45:29.867,2024-04-07 15:47:06.152,17
47.0,2024-04-07 15:47:06.152,2024-04-07 15:48:42.365,17
48.0,2024-04-07 15:48:42.365,2024-04-07 15:50:18.541,17
49.0,2024-04-07 15:50:18.541,2024-04-07 15:51:54.615,17
50.0,2024-04-07 15:51:54.615,2024-04-07 15:53:30.864,17
51.0,2024-04-07 15:53:30.864,2024-04-07 15:55:06.841,17
52.0,2024-04-07 15:55:06.841,2024-04-07 15:56:43.274,17
53.0,2024-04-07 15:55:59.560,2024-04-07 15:57:34.893,9
