LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-11-24 15:01:26.960,2024-11-24 15:03:16.401,20
2.0,2024-11-24 15:03:16.401,2024-11-24 15:04:57.111,20
3.0,2024-11-24 15:04:57.111,2024-11-24 15:06:36.759,20
4.0,2024-11-24 15:06:36.759,2024-11-24 15:08:16.519,20
5.0,2024-11-24 15:08:16.519,2024-11-24 15:09:56.598,20
6.0,2024-11-24 15:09:56.598,2024-11-24 15:11:35.794,20
7.0,2024-11-24 15:11:35.794,2024-11-24 15:13:15.438,20
8.0,2024-11-24 15:13:15.438,2024-11-24 15:14:55.373,20
9.0,2024-11-24 15:14:55.373,2024-11-24 15:16:36.933,20
10.0,2024-11-24 15:16:36.933,2024-11-24 15:18:21.964,20
11.0,2024-11-24 15:18:21.964,2024-11-24 15:20:06.313,20
12.0,2024-11-24 15:20:06.313,2024-11-24 15:21:49.777,20
13.0,2024-11-24 15:21:49.777,2024-11-24 15:23:31.394,20
14.0,2024-11-24 15:23:31.394,2024-11-24 15:25:12.223,20
15.0,2024-11-24 15:25:12.223,2024-11-24 15:26:53.227,20
16.0,2024-11-24 15:26:52.673,2024-11-24 15:28:32.562,19
17.0,2024-11-24 15:28:32.562,2024-11-24 15:30:13.877,19
18.0,2024-11-24 15:30:13.877,2024-11-24 15:31:55.238,19
19.0,2024-11-24 15:31:55.238,2024-11-24 15:33:33.885,19
20.0,2024-11-24 15:33:33.885,2024-11-24 15:35:12.157,19
21.0,2024-11-24 15:35:12.157,2024-11-24 15:36:50.425,19
22.0,2024-11-24 15:36:50.425,2024-11-24 15:38:28.854,19
23.0,2024-11-24 15:38:28.854,2024-11-24 15:40:07.401,19
24.0,2024-11-24 15:40:07.401,2024-11-24 15:41:46.249,19
25.0,2024-11-24 15:41:46.249,2024-11-24 15:43:26.516,19
26.0,2024-11-24 15:43:25.833,2024-11-24 15:45:05.368,18
27.0,2024-11-24 15:45:05.368,2024-11-24 15:46:45.660,18
28.0,2024-11-24 15:46:45.660,2024-11-24 15:48:26.813,18
29.0,2024-11-24 15:48:26.813,2024-11-24 15:50:07.217,18
30.0,2024-11-24 15:50:07.217,2024-11-24 15:51:46.846,18
31.0,2024-11-24 15:51:46.846,2024-11-24 15:53:26.497,18
32.0,2024-11-24 15:53:26.497,2024-11-24 15:55:06.342,18
33.0,2024-11-24 15:55:06.342,2024-11-24 15:56:46.709,18
34.0,2024-11-24 15:56:46.709,2024-11-24 15:58:26.016,18
35.0,2024-11-24 15:58:26.016,2024-11-24 16:00:05.219,18
36.0,2024-11-24 16:00:05.219,2024-11-24 16:01:44.060,18
37.0,2024-11-24 16:01:44.060,2024-11-24 16:03:21.704,18
38.0,2024-11-24 16:03:21.704,2024-11-24 16:04:59.593,18
39.0,2024-11-24 16:04:59.593,2024-11-24 16:06:37.725,18
40.0,2024-11-24 16:06:37.725,2024-11-24 16:08:15.076,18
41.0,2024-11-24 16:08:15.076,2024-11-24 16:09:52.465,18
42.0,2024-11-24 16:09:52.465,2024-11-24 16:11:29.609,18
43.0,2024-11-24 16:11:29.609,2024-11-24 16:13:06.524,18
44.0,2024-11-24 16:13:06.524,2024-11-24 16:14:43.541,18
45.0,2024-11-24 16:14:43.541,2024-11-24 16:16:20.827,18
46.0,2024-11-24 16:16:20.827,2024-11-24 16:17:58.654,18
47.0,2024-11-24 16:17:58.654,2024-11-24 16:19:35.445,18
48.0,2024-11-24 16:19:35.445,2024-11-24 16:21:12.683,18
49.0,2024-11-24 16:21:12.683,2024-11-24 16:22:50.770,18
50.0,2024-11-24 16:22:44.689,2024-11-24 16:24:22.367,16
