LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-08-25 22:02:35.433,2024-08-25 22:04:01.480,20
2.0,2024-08-25 22:04:01.480,2024-08-25 22:05:19.122,20
3.0,2024-08-25 22:05:19.122,2024-08-25 22:06:36.572,20
4.0,2024-08-25 22:06:36.572,2024-08-25 22:07:53.539,20
5.0,2024-08-25 22:07:53.539,2024-08-25 22:09:10.489,20
6.0,2024-08-25 22:09:10.489,2024-08-25 22:10:27.315,20
7.0,2024-08-25 22:10:27.315,2024-08-25 22:11:44.475,20
8.0,2024-08-25 22:11:44.475,2024-08-25 22:13:01.598,20
9.0,2024-08-25 22:13:01.598,2024-08-25 22:14:18.816,20
10.0,2024-08-25 22:14:18.816,2024-08-25 22:15:36.019,20
11.0,2024-08-25 22:15:36.019,2024-08-25 22:16:53.339,20
12.0,2024-08-25 22:16:53.339,2024-08-25 22:18:10.743,20
13.0,2024-08-25 22:18:10.743,2024-08-25 22:19:28.838,20
14.0,2024-08-25 22:19:28.838,2024-08-25 22:20:46.346,20
15.0,2024-08-25 22:20:46.346,2024-08-25 22:22:05.439,20
16.0,2024-08-25 22:22:05.439,2024-08-25 22:23:23.234,20
17.0,2024-08-25 22:23:23.234,2024-08-25 22:24:40.165,20
18.0,2024-08-25 22:24:40.165,2024-08-25 22:25:57.235,20
19.0,2024-08-25 22:25:57.235,2024-08-25 22:27:15.112,20
20.0,2024-08-25 22:27:15.112,2024-08-25 22:28:32.011,20
21.0,2024-08-25 22:28:32.011,2024-08-25 22:29:48.768,20
22.0,2024-08-25 22:29:48.768,2024-08-25 22:31:06.049,20
23.0,2024-08-25 22:31:06.049,2024-08-25 22:32:24.119,20
24.0,2024-08-25 22:32:24.119,2024-08-25 22:33:41.890,20
25.0,2024-08-25 22:33:41.890,2024-08-25 22:34:59.556,20
26.0,2024-08-25 22:34:59.556,2024-08-25 22:36:17.194,20
27.0,2024-08-25 22:36:17.194,2024-08-25 22:37:33.888,20
28.0,2024-08-25 22:37:33.888,2024-08-25 22:38:51.703,20
29.0,2024-08-25 22:38:51.703,2024-08-25 22:40:09.955,20
30.0,2024-08-25 22:40:09.955,2024-08-25 22:41:28.974,20
31.0,2024-08-25 22:41:28.974,2024-08-25 22:42:48.400,20
32.0,2024-08-25 22:42:48.400,2024-08-25 22:44:05.841,20
33.0,2024-08-25 22:44:05.841,2024-08-25 22:45:24.070,20
34.0,2024-08-25 22:45:24.070,2024-08-25 22:46:40.773,20
35.0,2024-08-25 22:46:40.773,2024-08-25 22:47:56.428,20
36.0,2024-08-25 22:47:56.428,2024-08-25 22:49:12.302,20
37.0,2024-08-25 22:49:12.302,2024-08-25 22:50:28.076,20
38.0,2024-08-25 22:50:28.076,2024-08-25 22:51:44.001,20
39.0,2024-08-25 22:51:44.001,2024-08-25 22:53:00.426,20
40.0,2024-08-25 22:53:00.426,2024-08-25 22:54:16.870,20
41.0,2024-08-25 22:54:16.870,2024-08-25 22:55:34.140,20
42.0,2024-08-25 22:55:34.140,2024-08-25 22:56:50.285,20
43.0,2024-08-25 22:56:50.285,2024-08-25 22:58:06.644,20
44.0,2024-08-25 22:58:06.644,2024-08-25 22:59:23.362,20
45.0,2024-08-25 22:59:23.362,2024-08-25 23:00:39.163,20
46.0,2024-08-25 23:00:39.163,2024-08-25 23:01:55.087,20
47.0,2024-08-25 23:01:55.087,2024-08-25 23:03:11.193,20
48.0,2024-08-25 23:03:11.193,2024-08-25 23:04:27.157,20
49.0,2024-08-25 23:04:27.157,2024-08-25 23:05:43.949,20
50.0,2024-08-25 23:05:43.949,2024-08-25 23:06:59.730,20
51.0,2024-08-25 23:06:59.730,2024-08-25 23:08:15.530,20
52.0,2024-08-25 23:08:15.530,2024-08-25 23:09:32.271,20
53.0,2024-08-25 23:09:32.271,2024-08-25 23:10:47.786,20
54.0,2024-08-25 23:10:47.786,2024-08-25 23:12:03.692,20
55.0,2024-08-25 23:12:03.692,2024-08-25 23:13:21.239,20
56.0,2024-08-25 23:13:21.239,2024-08-25 23:14:36.852,20
57.0,2024-08-25 23:14:36.852,2024-08-25 23:15:52.820,20
58.0,2024-08-25 23:15:52.820,2024-08-25 23:17:08.677,20
59.0,2024-08-25 23:17:08.677,2024-08-25 23:18:24.153,20
60.0,2024-08-25 23:18:24.153,2024-08-25 23:19:39.854,20
61.0,2024-08-25 23:19:39.854,2024-08-25 23:20:55.569,20
62.0,2024-08-25 23:20:55.569,2024-08-25 23:22:11.267,20
63.0,2024-08-25 23:22:11.267,2024-08-25 23:23:26.948,20
64.0,2024-08-25 23:23:26.948,2024-08-25 23:24:42.577,20
65.0,2024-08-25 23:24:42.577,2024-08-25 23:25:58.002,20
66.0,2024-08-25 23:25:58.002,2024-08-25 23:27:13.374,20
67.0,2024-08-25 23:27:13.374,2024-08-25 23:28:28.859,20
68.0,2024-08-25 23:28:28.859,2024-08-25 23:29:44.373,20
69.0,2024-08-25 23:29:44.373,2024-08-25 23:31:00.021,20
70.0,2024-08-25 23:31:00.021,2024-08-25 23:32:15.731,20
71.0,2024-08-25 23:32:06.270,2024-08-25 23:33:21.712,18
72.0,2024-08-25 23:32:36.530,2024-08-25 23:33:51.442,8
