LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-12-02 01:03:49.896,2024-12-02 01:05:55.748,20
2.0,2024-12-02 01:05:57.331,2024-12-02 01:08:20.051,18
3.0,2024-12-02 01:08:20.051,2024-12-02 01:10:37.807,18
4.0,2024-12-02 01:10:37.807,2024-12-02 01:12:56.666,18
5.0,2024-12-02 01:12:56.666,2024-12-02 01:14:27.104,18
6.0,2024-12-02 01:14:27.104,2024-12-02 01:15:55.578,18
7.0,2024-12-02 01:15:55.578,2024-12-02 01:17:23.665,18
8.0,2024-12-02 01:17:23.665,2024-12-02 01:18:54.145,18
9.0,2024-12-02 01:18:50.170,2024-12-02 01:20:17.408,17
10.0,2024-12-02 01:20:17.408,2024-12-02 01:21:44.714,17
11.0,2024-12-02 01:21:44.714,2024-12-02 01:23:12.096,17
12.0,2024-12-02 01:23:12.096,2024-12-02 01:24:39.161,17
13.0,2024-12-02 01:24:39.161,2024-12-02 01:26:06.190,17
14.0,2024-12-02 01:26:06.190,2024-12-02 01:27:33.068,17
15.0,2024-12-02 01:27:33.068,2024-12-02 01:28:59.826,17
16.0,2024-12-02 01:28:59.826,2024-12-02 01:30:26.503,17
17.0,2024-12-02 01:30:26.503,2024-12-02 01:31:53.024,17
18.0,2024-12-02 01:31:53.024,2024-12-02 01:33:19.516,17
19.0,2024-12-02 01:33:19.516,2024-12-02 01:34:45.931,17
20.0,2024-12-02 01:34:45.931,2024-12-02 01:36:12.243,17
21.0,2024-12-02 01:36:12.243,2024-12-02 01:37:38.478,17
22.0,2024-12-02 01:37:38.478,2024-12-02 01:39:04.615,17
23.0,2024-12-02 01:39:04.615,2024-12-02 01:40:30.885,17
24.0,2024-12-02 01:40:30.885,2024-12-02 01:41:58.721,17
25.0,2024-12-02 01:41:58.721,2024-12-02 01:43:26.058,17
26.0,2024-12-02 01:43:26.058,2024-12-02 01:44:51.926,17
27.0,2024-12-02 01:44:51.926,2024-12-02 01:46:17.928,17
28.0,2024-12-02 01:46:17.928,2024-12-02 01:47:45.204,17
29.0,2024-12-02 01:47:45.204,2024-12-02 01:49:10.890,17
30.0,2024-12-02 01:49:10.890,2024-12-02 01:50:36.664,17
31.0,2024-12-02 01:50:36.664,2024-12-02 01:52:02.446,17
32.0,2024-12-02 01:52:02.446,2024-12-02 01:53:29.343,17
33.0,2024-12-02 01:53:29.343,2024-12-02 01:54:55.027,17
34.0,2024-12-02 01:54:55.027,2024-12-02 01:56:26.658,17
35.0,2024-12-02 01:56:26.658,2024-12-02 01:58:27.758,17
36.0,2024-12-02 01:58:27.758,2024-12-02 02:00:54.681,17
37.0,2024-12-02 02:00:54.681,2024-12-02 02:03:12.639,17
38.0,2024-12-02 02:03:12.639,2024-12-02 02:05:31.980,17
39.0,2024-12-02 02:05:31.980,2024-12-02 02:07:43.333,17
40.0,2024-12-02 02:07:42.894,2024-12-02 02:09:35.546,16
41.0,2024-12-02 02:09:32.938,2024-12-02 02:11:47.321,15
42.0,2024-12-02 02:11:47.321,2024-12-02 02:14:07.669,15
43.0,2024-12-02 02:14:07.669,2024-12-02 02:15:35.069,15
44.0,2024-12-02 02:15:35.069,2024-12-02 02:17:00.659,15
45.0,2024-12-02 02:17:00.659,2024-12-02 02:18:25.889,15
46.0,2024-12-02 02:18:25.889,2024-12-02 02:19:52.610,15
47.0,2024-12-02 02:19:52.610,2024-12-02 02:21:17.598,15
48.0,2024-12-02 02:21:17.598,2024-12-02 02:22:43.371,15
49.0,2024-12-02 02:22:43.371,2024-12-02 02:24:08.012,15
50.0,2024-12-02 02:24:08.012,2024-12-02 02:25:32.767,15
51.0,2024-12-02 02:25:32.767,2024-12-02 02:26:57.644,15
52.0,2024-12-02 02:26:57.644,2024-12-02 02:28:22.394,15
53.0,2024-12-02 02:28:22.394,2024-12-02 02:29:47.317,15
54.0,2024-12-02 02:29:47.317,2024-12-02 02:31:12.188,15
55.0,2024-12-02 02:31:12.188,2024-12-02 02:32:37.162,15
56.0,2024-12-02 02:32:37.162,2024-12-02 02:34:04.090,15
57.0,2024-12-02 02:33:59.493,2024-12-02 02:35:24.014,14
