LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-06-23 22:03:57.095,2024-06-23 22:05:25.388,20
2.0,2024-06-23 22:05:25.388,2024-06-23 22:06:47.215,20
3.0,2024-06-23 22:06:47.215,2024-06-23 22:08:08.626,20
4.0,2024-06-23 22:08:08.626,2024-06-23 22:09:30.202,20
5.0,2024-06-23 22:09:30.202,2024-06-23 22:10:52.084,20
6.0,2024-06-23 22:10:52.084,2024-06-23 22:12:14.061,20
7.0,2024-06-23 22:12:14.061,2024-06-23 22:13:36.162,20
8.0,2024-06-23 22:13:36.162,2024-06-23 22:14:58.252,20
9.0,2024-06-23 22:14:58.252,2024-06-23 22:16:20.444,20
10.0,2024-06-23 22:16:20.444,2024-06-23 22:17:44.106,20
11.0,2024-06-23 22:17:44.106,2024-06-23 22:19:06.839,20
12.0,2024-06-23 22:19:06.839,2024-06-23 22:20:29.659,20
13.0,2024-06-23 22:20:29.659,2024-06-23 22:21:52.559,20
14.0,2024-06-23 22:21:52.559,2024-06-23 22:23:16.256,20
15.0,2024-06-23 22:23:16.256,2024-06-23 22:24:40.030,20
16.0,2024-06-23 22:24:40.030,2024-06-23 22:26:03.567,20
17.0,2024-06-23 22:26:03.567,2024-06-23 22:27:27.189,20
18.0,2024-06-23 22:27:27.189,2024-06-23 22:28:50.130,20
19.0,2024-06-23 22:28:50.130,2024-06-23 22:30:12.165,20
20.0,2024-06-23 22:30:12.165,2024-06-23 22:31:34.051,20
21.0,2024-06-23 22:31:34.051,2024-06-23 22:32:55.290,20
22.0,2024-06-23 22:32:55.290,2024-06-23 22:34:17.281,20
23.0,2024-06-23 22:34:17.281,2024-06-23 22:35:38.540,20
24.0,2024-06-23 22:35:38.540,2024-06-23 22:37:00.576,20
25.0,2024-06-23 22:37:00.576,2024-06-23 22:38:22.221,20
26.0,2024-06-23 22:38:22.221,2024-06-23 22:39:43.149,20
27.0,2024-06-23 22:39:43.149,2024-06-23 22:41:04.499,20
28.0,2024-06-23 22:41:04.499,2024-06-23 22:42:26.684,20
29.0,2024-06-23 22:42:26.684,2024-06-23 22:43:48.542,20
30.0,2024-06-23 22:43:48.542,2024-06-23 22:45:10.696,20
31.0,2024-06-23 22:45:10.696,2024-06-23 22:46:31.755,20
32.0,2024-06-23 22:46:31.755,2024-06-23 22:47:53.368,20
33.0,2024-06-23 22:47:53.368,2024-06-23 22:49:13.942,20
34.0,2024-06-23 22:49:13.942,2024-06-23 22:50:34.885,20
35.0,2024-06-23 22:50:34.885,2024-06-23 22:51:56.760,20
36.0,2024-06-23 22:51:56.760,2024-06-23 22:53:17.822,20
37.0,2024-06-23 22:53:17.822,2024-06-23 22:54:40.578,20
38.0,2024-06-23 22:54:40.578,2024-06-23 22:56:03.094,20
39.0,2024-06-23 22:56:03.094,2024-06-23 22:57:25.435,20
40.0,2024-06-23 22:57:25.435,2024-06-23 22:58:45.929,20
41.0,2024-06-23 22:58:45.929,2024-06-23 23:00:06.607,20
42.0,2024-06-23 23:00:06.607,2024-06-23 23:01:28.474,20
43.0,2024-06-23 23:01:28.474,2024-06-23 23:02:50.247,20
44.0,2024-06-23 23:02:50.247,2024-06-23 23:04:12.615,20
45.0,2024-06-23 23:04:12.615,2024-06-23 23:05:34.666,20
46.0,2024-06-23 23:05:34.666,2024-06-23 23:06:55.712,20
47.0,2024-06-23 23:06:55.712,2024-06-23 23:08:16.720,20
48.0,2024-06-23 23:08:16.720,2024-06-23 23:09:38.687,20
49.0,2024-06-23 23:09:38.687,2024-06-23 23:10:58.340,20
50.0,2024-06-23 23:10:58.340,2024-06-23 23:12:18.509,20
51.0,2024-06-23 23:12:18.509,2024-06-23 23:13:38.023,20
52.0,2024-06-23 23:13:38.023,2024-06-23 23:14:57.728,20
53.0,2024-06-23 23:14:57.728,2024-06-23 23:16:17.279,20
54.0,2024-06-23 23:16:17.279,2024-06-23 23:17:36.663,20
55.0,2024-06-23 23:17:36.663,2024-06-23 23:18:56.361,20
56.0,2024-06-23 23:18:56.361,2024-06-23 23:20:15.760,20
57.0,2024-06-23 23:20:15.760,2024-06-23 23:21:35.350,20
58.0,2024-06-23 23:21:35.350,2024-06-23 23:22:55.384,20
59.0,2024-06-23 23:22:55.384,2024-06-23 23:24:14.880,20
60.0,2024-06-23 23:24:14.880,2024-06-23 23:25:34.654,20
61.0,2024-06-23 23:25:34.654,2024-06-23 23:26:54.191,20
62.0,2024-06-23 23:26:54.191,2024-06-23 23:28:14.037,20
63.0,2024-06-23 23:28:14.037,2024-06-23 23:29:33.748,20
64.0,2024-06-23 23:29:33.748,2024-06-23 23:30:53.768,20
65.0,2024-06-23 23:30:49.103,2024-06-23 23:32:09.195,19
66.0,2024-06-23 23:31:33.628,2024-06-23 23:32:53.682,11
