LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-07-07 23:01:15.512,2024-07-07 23:02:56.070,20
2.0,2024-07-07 23:02:56.339,2024-07-07 23:04:29.316,19
3.0,2024-07-07 23:04:29.316,2024-07-07 23:06:02.035,19
4.0,2024-07-07 23:06:02.035,2024-07-07 23:07:34.783,19
5.0,2024-07-07 23:07:34.783,2024-07-07 23:09:07.339,19
6.0,2024-07-07 23:09:07.339,2024-07-07 23:10:40.008,19
7.0,2024-07-07 23:10:40.008,2024-07-07 23:12:12.897,19
8.0,2024-07-07 23:12:12.897,2024-07-07 23:13:45.756,19
9.0,2024-07-07 23:13:45.756,2024-07-07 23:15:18.433,19
10.0,2024-07-07 23:15:18.433,2024-07-07 23:16:51.176,19
11.0,2024-07-07 23:16:51.176,2024-07-07 23:18:23.769,19
12.0,2024-07-07 23:18:23.769,2024-07-07 23:19:56.283,19
13.0,2024-07-07 23:19:56.283,2024-07-07 23:21:30.044,19
14.0,2024-07-07 23:21:30.044,2024-07-07 23:23:02.504,19
15.0,2024-07-07 23:23:02.504,2024-07-07 23:24:34.972,19
16.0,2024-07-07 23:24:34.972,2024-07-07 23:26:08.238,19
17.0,2024-07-07 23:26:08.238,2024-07-07 23:27:43.524,19
18.0,2024-07-07 23:27:43.524,2024-07-07 23:29:19.342,19
19.0,2024-07-07 23:29:19.342,2024-07-07 23:31:03.317,19
20.0,2024-07-07 23:31:03.317,2024-07-07 23:32:45.799,19
21.0,2024-07-07 23:32:45.799,2024-07-07 23:34:20.944,19
22.0,2024-07-07 23:34:20.944,2024-07-07 23:35:56.685,19
23.0,2024-07-07 23:35:56.685,2024-07-07 23:37:31.838,19
24.0,2024-07-07 23:37:31.838,2024-07-07 23:39:08.327,19
25.0,2024-07-07 23:39:08.327,2024-07-07 23:40:46.733,19
26.0,2024-07-07 23:40:46.733,2024-07-07 23:42:30.933,19
27.0,2024-07-07 23:42:30.933,2024-07-07 23:44:25.376,19
28.0,2024-07-07 23:44:25.376,2024-07-07 23:46:18.664,19
29.0,2024-07-07 23:46:18.664,2024-07-07 23:48:03.006,19
30.0,2024-07-07 23:48:03.006,2024-07-07 23:49:45.250,19
31.0,2024-07-07 23:49:45.250,2024-07-07 23:51:28.402,19
32.0,2024-07-07 23:51:28.402,2024-07-07 23:53:12.336,19
33.0,2024-07-07 23:53:12.336,2024-07-07 23:54:56.666,19
34.0,2024-07-07 23:54:59.402,2024-07-07 23:56:44.043,18
35.0,2024-07-07 23:56:44.043,2024-07-07 23:58:28.030,18
36.0,2024-07-07 23:58:28.030,2024-07-08 00:00:10.529,18
37.0,2024-07-08 00:00:10.529,2024-07-08 00:01:51.009,18
38.0,2024-07-08 00:01:51.009,2024-07-08 00:03:37.505,18
39.0,2024-07-08 00:03:37.505,2024-07-08 00:05:22.572,18
40.0,2024-07-08 00:05:22.572,2024-07-08 00:06:59.620,18
41.0,2024-07-08 00:06:59.620,2024-07-08 00:08:30.283,18
42.0,2024-07-08 00:08:30.283,2024-07-08 00:10:00.628,18
43.0,2024-07-08 00:10:00.628,2024-07-08 00:11:30.818,18
44.0,2024-07-08 00:11:30.818,2024-07-08 00:13:01.163,18
45.0,2024-07-08 00:13:01.163,2024-07-08 00:14:31.610,18
46.0,2024-07-08 00:14:31.610,2024-07-08 00:16:01.967,18
47.0,2024-07-08 00:16:01.967,2024-07-08 00:17:32.435,18
48.0,2024-07-08 00:17:32.435,2024-07-08 00:19:05.115,18
49.0,2024-07-08 00:19:05.115,2024-07-08 00:20:36.170,18
50.0,2024-07-08 00:20:36.170,2024-07-08 00:22:06.936,18
51.0,2024-07-08 00:21:42.218,2024-07-08 00:23:14.608,15
52.0,2024-07-08 00:22:59.873,2024-07-08 00:24:30.421,12
