post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-08-25 22:00:00,유죄남은 역대급이다 ㅋㅋㅋㅋ,,Before Lap,,유죄남은 역대급이다 ㅋㅋㅋㅋ ,유죄남은 역대급이다 ㅋㅋㅋㅋ,0.901635468006134
2024-08-25 22:00:21,시작 전에 올려드리자,"대 종 신
- dc official App",Before Lap,,"시작 전에 올려드리자 대 종 신
- dc official App",시작 전에 올려드리자 대 종 신 - dc official App,0.09300953149795532
2024-08-25 22:00:24,중계 연습) 노리스가 8위로 추락합니다!!!,,Before Lap,,중계 연습) 노리스가 8위로 추락합니다!!! ,중계 연습) 노리스가 8위로 추락합니다!!!,0.10711245983839035
2024-08-25 22:00:27,독기에 찬 투무브 ㄷㄷ,,Before Lap,,독기에 찬 투무브 ㄷㄷ ,독기에 찬 투무브 ㄷㄷ,0.2482086420059204
2024-08-25 22:00:39,안캐쇼 ㅁㅊㅋㅋ 연말에 모음집 누가 만들어줬으면ㅋㅋ,지난주 방학 때 보니까 레알 마드리드 경기에서도 해설 비슷하게 하더라ㅋㅋ,Before Lap,,안캐쇼 ㅁㅊㅋㅋ 연말에 모음집 누가 만들어줬으면ㅋㅋ 지난주 방학 때 보니까 레알 마드리드 경기에서도 해설 비슷하게 하더라ㅋㅋ,안캐쇼 ㅁㅊㅋㅋ 연말에 모음집 누가 만들어줬으면ㅋㅋ 지난주 방학 때 보니까 레알 마드리드 경기에서도 해설 비슷하게 하더라ㅋㅋ,0.1683368682861328
2024-08-25 22:00:47,부우웅~~,ㄷㄱㅈ~,Before Lap,,부우웅~~ ㄷㄱㅈ~,부우웅~~ ㄷㄱㅈ~,0.8971042037010193
2024-08-25 22:00:50,ㅅㅂ 포메이션 랩 스타트부터 따이노ㅋㅋ,- dc official App,Before Lap,,ㅅㅂ 포메이션 랩 스타트부터 따이노ㅋㅋ - dc official App,ㅅㅂ 포메이션 랩 스타트부터 따이노ㅋㅋ - dc official App,0.5531779527664185
2024-08-25 22:00:52,피아제가 뒤에 있는 노xx <- 스타트 디버프 존나 쎔,- dc official App,Before Lap,,피아제가 뒤에 있는 노xx <- 스타트 디버프 존나 쎔 - dc official App,피아제가 뒤에 있는 노xx <- 스타트 디버프 존나 쎔 - dc official App,0.4921249747276306
2024-08-25 22:00:52,정찰랩 안도나 이번엔?,음,Before Lap,,정찰랩 안도나 이번엔? 음,정찰랩 안도나 이번엔? 음,0.19376111030578613
2024-08-25 22:00:55,포메이션 스타트도 막스가 빠르네,흐음..,Before Lap,,포메이션 스타트도 막스가 빠르네 흐음..,포메이션 스타트도 막스가 빠르네 흐음..,0.09052348136901855
2024-08-25 22:00:56,자우버 유쾌한 반란 기원,드가자,Before Lap,,자우버 유쾌한 반란 기원 드가자,자우버 유쾌한 반란 기원 드가자,0.09389887750148773
2024-08-25 22:00:58,츠햄보 소프트 ㅋㅋㅋ,,Before Lap,,츠햄보 소프트 ㅋㅋㅋ ,츠햄보 소프트 ㅋㅋㅋ,0.3065151870250702
2024-08-25 22:01:02,쿠플은 안캐쇼 하이라이트를 올려라,- dc official App,Before Lap,,쿠플은 안캐쇼 하이라이트를 올려라 - dc official App,쿠플은 안캐쇼 하이라이트를 올려라 - dc official App,0.13711710274219513
2024-08-25 22:01:05,막스 ㅎㅇㅌ,우승가즈아,Before Lap,,막스 ㅎㅇㅌ 우승가즈아,막스 ㅎㅇㅌ 우승가즈아,0.061136938631534576
2024-08-25 22:01:15,"츠노다햄보 소프트 스타트, 케이막 하드 스타트",나머지 전부 미디엄 스타트,Before Lap,,"츠노다햄보 소프트 스타트, 케이막 하드 스타트 나머지 전부 미디엄 스타트","츠노다햄보 소프트 스타트, 케이막 하드 스타트 나머지 전부 미디엄 스타트",0.1821407675743103
2024-08-25 22:01:17,방학 다 지났노,내 방학도 씨발!!!!!!!,Before Lap,,방학 다 지났노 내 방학도 씨발!!!!!!!,방학 다 지났노 내 방학도 씨발!!!!!!!,0.8509741425514221
2024-08-25 22:01:20,타이어 예상가능전락 찍어놈,"참고 ㄱㄱ
- dc official App",Before Lap,,"타이어 예상가능전락 찍어놈 참고 ㄱㄱ
- dc official App",타이어 예상가능전락 찍어놈 참고 ㄱㄱ - dc official App,0.16210326552391052
2024-08-25 22:01:24,미하소가 국룰인가,미소소로도 갈 수 있나?,Before Lap,,미하소가 국룰인가 미소소로도 갈 수 있나?,미하소가 국룰인가 미소소로도 갈 수 있나?,0.3650568425655365
2024-08-25 22:01:27,스타트 예측 해봄,"1코너후 피 막 노
예상해본다
노리스 또 막가놈 막다가 처짐
- dc official App",Before Lap,,"스타트 예측 해봄 1코너후 피 막 노
예상해본다
노리스 또 막가놈 막다가 처짐
- dc official App",스타트 예측 해봄 1코너후 피 막 노 예상해본다 노리스 또 막가놈 막다가 처짐 - dc official App,0.4551243484020233
2024-08-25 22:01:28,포랩입갤 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,Before Lap,,포랩입갤 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,포랩입갤 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,0.5859332084655762
2024-08-25 22:01:32,쥬지 또 도박가나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,Before Lap,,쥬지 또 도박가나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,쥬지 또 도박가나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9408897757530212
2024-08-25 22:01:42,4.5만 자전거 관중은ㅋㅋㅋㅋㅋ,,Before Lap,,4.5만 자전거 관중은ㅋㅋㅋㅋㅋ ,4.5만 자전거 관중은ㅋㅋㅋㅋㅋ,0.5766792893409729
2024-08-25 22:01:47,쉬프팅하는거 처음보네,,Before Lap,,쉬프팅하는거 처음보네 ,쉬프팅하는거 처음보네,0.12472804635763168
2024-08-25 22:01:48,얼마만의 레이스인가 크,,Before Lap,,얼마만의 레이스인가 크 ,얼마만의 레이스인가 크,0.05808482691645622
2024-08-25 22:01:47,어제부터 소리 나만 이상함?,차 지나갈 때 공기소리 ㅈㄴ 들리는 느낌이노,Before Lap,,어제부터 소리 나만 이상함? 차 지나갈 때 공기소리 ㅈㄴ 들리는 느낌이노,어제부터 소리 나만 이상함? 차 지나갈 때 공기소리 ㅈㄴ 들리는 느낌이노,0.46158039569854736
2024-08-25 22:01:54,시발 츠노다 소프트 50랩 함 해봐?,안될거 머있노?,Before Lap,,시발 츠노다 소프트 50랩 함 해봐? 안될거 머있노?,시발 츠노다 소프트 50랩 함 해봐? 안될거 머있노?,0.7617843747138977
2024-08-25 22:01:55,국왕님 로켓 스타트 드개재,,Before Lap,,국왕님 로켓 스타트 드개재 ,국왕님 로켓 스타트 드개재,0.07592513412237167
2024-08-25 22:01:56,자전거 임피딩은 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ,Before Lap,,자전거 임피딩은 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,자전거 임피딩은 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,0.3670218586921692
2024-08-25 22:01:56,자전거 임피딩은 ㅅㅂ ㅋㅋㅋ,,Before Lap,,자전거 임피딩은 ㅅㅂ ㅋㅋㅋ ,자전거 임피딩은 ㅅㅂ ㅋㅋㅋ,0.7342748641967773
2024-08-25 22:02:00,오늘 소리가 좀 먼가먼가인데,흠,Before Lap,,오늘 소리가 좀 먼가먼가인데 흠,오늘 소리가 좀 먼가먼가인데 흠,0.12186749279499054
2024-08-25 22:02:02,자전거 임피딩ㅋㅋㅋㅋ,- dc official App,Before Lap,,자전거 임피딩ㅋㅋㅋㅋ - dc official App,자전거 임피딩ㅋㅋㅋㅋ - dc official App,0.15271899104118347
2024-08-25 22:02:02,자전거 임피딩 ㅋㅋㅋㅋ,,Before Lap,,자전거 임피딩 ㅋㅋㅋㅋ ,자전거 임피딩 ㅋㅋㅋㅋ,0.2057671993970871
2024-08-25 22:02:03,30만 와 ㅋㅋㅋㅋㅋ,,Before Lap,,30만 와 ㅋㅋㅋㅋㅋ ,30만 와 ㅋㅋㅋㅋㅋ,0.21136391162872314
2024-08-25 22:02:01,서로 임피딩ㅋㅋㅋㅋ,,Before Lap,,서로 임피딩ㅋㅋㅋㅋ ,서로 임피딩ㅋㅋㅋㅋ,0.11987274885177612
2024-08-25 22:02:06,엄ㅋㅋㅋ,ㅋㅋㅋㅋ,Before Lap,,엄ㅋㅋㅋ ㅋㅋㅋㅋ,엄ㅋㅋㅋ ㅋㅋㅋㅋ,0.6730919480323792
2024-08-25 22:02:10,올해 처음보는데,올해 입덕했는데 노리스 우승 보고싶네요,Before Lap,,올해 처음보는데 올해 입덕했는데 노리스 우승 보고싶네요,올해 처음보는데 올해 입덕했는데 노리스 우승 보고싶네요,0.05560402572154999
2024-08-25 22:02:11,누리스 스타트 찐빠보다 맥 전략 찐빠가 정배임ㅋㅋ,피트스탑 2번 다 조질거라 본다,Before Lap,,누리스 스타트 찐빠보다 맥 전략 찐빠가 정배임ㅋㅋ 피트스탑 2번 다 조질거라 본다,누리스 스타트 찐빠보다 맥 전략 찐빠가 정배임ㅋㅋ 피트스탑 2번 다 조질거라 본다,0.2733803689479828
2024-08-25 22:02:21,경 퀄리 박고 소프트 스타트 처음 아니지 앟냐,"기시감 느껴지는데
근래 비슷한게 잇엇던거 같고",Before Lap,,"경 퀄리 박고 소프트 스타트 처음 아니지 앟냐 기시감 느껴지는데
근래 비슷한게 잇엇던거 같고",경 퀄리 박고 소프트 스타트 처음 아니지 앟냐 기시감 느껴지는데 근래 비슷한게 잇엇던거 같고,0.11670548468828201
2024-08-25 22:02:27,미그누센은 피트레인에거 출발합니까?,"ㅠㅠ?
- dc official App",Before Lap,,"미그누센은 피트레인에거 출발합니까? ㅠㅠ?
- dc official App",미그누센은 피트레인에거 출발합니까? ㅠㅠ? - dc official App,0.1228209063410759
2024-08-25 22:02:30,노리스가 바보도 아니고,스타트에서 따이겠노,Before Lap,,노리스가 바보도 아니고 스타트에서 따이겠노,노리스가 바보도 아니고 스타트에서 따이겠노,0.8739578723907471
2024-08-25 22:02:37,ㅋㅋㅋㅋ오늘 안캐 삘받았노 ㅋㅋㅋ,"거를 타선이 없다
- dc official App",1,1.0,"ㅋㅋㅋㅋ오늘 안캐 삘받았노 ㅋㅋㅋ 거를 타선이 없다
- dc official App",ㅋㅋㅋㅋ오늘 안캐 삘받았노 ㅋㅋㅋ 거를 타선이 없다 - dc official App,0.5404199361801147
