post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-02 01:00:02,오렌지 = 무관색 ㄷㄷㄷ,,Before Lap,,오렌지 = 무관색 ㄷㄷㄷ ,오렌지 = 무관색 ㄷㄷㄷ,0.1596435010433197
2024-12-02 01:00:02,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ,,Before Lap,,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ ,케로위키 즉시 수정 ㅋㅋㅋㅋㅋ,0.21750324964523315
2024-12-02 01:00:04,안캐 vs 한캐,vs 기습 박캐,Before Lap,,안캐 vs 한캐 vs 기습 박캐,안캐 vs 한캐 vs 기습 박캐,0.910228967666626
2024-12-02 01:00:05,와 우승하면 파파야로 최초우승이냐,ㄹㅈㄷ네,Before Lap,,와 우승하면 파파야로 최초우승이냐 ㄹㅈㄷ네,와 우승하면 파파야로 최초우승이냐 ㄹㅈㄷ네,0.1560242474079132
2024-12-02 01:00:10,온도 높으면 맥라렌이 더 유리한데,,Before Lap,,온도 높으면 맥라렌이 더 유리한데 ,온도 높으면 맥라렌이 더 유리한데,0.20838898420333862
2024-12-02 01:00:19,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,Before Lap,,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,대문 누가 바꿨냐 왜 찌그러진 피아제냐 ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅇㅇㅈㅈㅇㅁㅇㅂㅈㅁㄴㅇㅋㅋ,0.9352118372917175
2024-12-02 01:00:23,눈에 독기가없네,- dc official App,Before Lap,,눈에 독기가없네 - dc official App,눈에 독기가없네 - dc official App,0.19998645782470703
2024-12-02 01:00:25,스타트 이후 못따면 그대로 컨챔 확정.,"그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....
- dc official App",Before Lap,,"스타트 이후 못따면 그대로 컨챔 확정. 그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라....
- dc official App",스타트 이후 못따면 그대로 컨챔 확정. 그러니까 사고가 나든 슈퍼스타트를 하든 뭘 하든 제발 스타트때 르끌레가 맥라렌 1명은 따라.... - dc official App,0.5364464521408081
2024-12-02 01:00:24,"""지난 세대""의 페라리의 영광.JPG",,Before Lap,,"""지난 세대""의 페라리의 영광.JPG ","""지난 세대""의 페라리의 영광.JPG",0.46160605549812317
2024-12-02 01:00:27,온도가 높으면 메르 긴장아니냐,엉뜨이슈 on,Before Lap,,온도가 높으면 메르 긴장아니냐 엉뜨이슈 on,온도가 높으면 메르 긴장아니냐 엉뜨이슈 on,0.43277761340141296
2024-12-02 01:00:36,본인 컴퓨터 화면 평가좀,이게 섹스지ㅋㅋ,Before Lap,,본인 컴퓨터 화면 평가좀 이게 섹스지ㅋㅋ,본인 컴퓨터 화면 평가좀 이게 섹스지ㅋㅋ,0.9396840929985046
2024-12-02 01:00:51,헐크 하드가 먹혀서 포디움 갈듯..ㅇㅇ,,Before Lap,,헐크 하드가 먹혀서 포디움 갈듯..ㅇㅇ ,헐크 하드가 먹혀서 포디움 갈듯..ㅇㅇ,0.20220503211021423
2024-12-02 01:00:52,죠지 우승하면 4팀 4명 3승인데 이것도 최초임??,처음보는거같은데,Before Lap,,죠지 우승하면 4팀 4명 3승인데 이것도 최초임?? 처음보는거같은데,죠지 우승하면 4팀 4명 3승인데 이것도 최초임?? 처음보는거같은데,0.2496062070131302
