post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-06-23 22:00:01,자지새끼 포디움이라도 들어가자,ㅇㅇ,Before Lap,,자지새끼 포디움이라도 들어가자 ㅇㅇ,자지새끼 포디움이라도 들어가자 ㅇㅇ,0.9408129453659058
2024-06-23 22:00:02,파도타기 ㄷㄷ,,Before Lap,,파도타기 ㄷㄷ ,파도타기 ㄷㄷ,0.13215163350105286
2024-06-23 22:00:05,파도타기하노 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ,Before Lap,,파도타기하노 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,파도타기하노 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,0.8038074970245361
2024-06-23 22:00:12,체코야 어뢰한번가자,,Before Lap,,체코야 어뢰한번가자 ,체코야 어뢰한번가자,0.7665067911148071
2024-06-23 22:00:14,여태 잘봤는데 갑자기 못보겠다,맥라렌 팬인데 내가 왜 떨리냐ㄷㄷ,Before Lap,,여태 잘봤는데 갑자기 못보겠다 맥라렌 팬인데 내가 왜 떨리냐ㄷㄷ,여태 잘봤는데 갑자기 못보겠다 맥라렌 팬인데 내가 왜 떨리냐ㄷㄷ,0.20762813091278076
2024-06-23 22:00:17,스타트때 터진다,예상,Before Lap,,스타트때 터진다 예상,스타트때 터진다 예상,0.13386249542236328
2024-06-23 22:00:20,노리스 틱임?,머리 졸라 박네,Before Lap,,노리스 틱임? 머리 졸라 박네,노리스 틱임? 머리 졸라 박네,0.8711873292922974
2024-06-23 22:00:21,노리스 새거꼈네,,Before Lap,,노리스 새거꼈네 ,노리스 새거꼈네,0.262114018201828
2024-06-23 22:00:27,근데 막스가 중고타이어 맞는거같ㅇ지않나 싶기도한데,막스 쟤는 걍 차를 잘 몰잖아 ㅅㅂ,Before Lap,,근데 막스가 중고타이어 맞는거같ㅇ지않나 싶기도한데 막스 쟤는 걍 차를 잘 몰잖아 ㅅㅂ,근데 막스가 중고타이어 맞는거같ㅇ지않나 싶기도한데 막스 쟤는 걍 차를 잘 몰잖아 ㅅㅂ,0.8135018944740295
2024-06-23 22:00:35,막스 헌 소프트냐?,광이 안 나는데,Before Lap,,막스 헌 소프트냐? 광이 안 나는데,막스 헌 소프트냐? 광이 안 나는데,0.3929259777069092
2024-06-23 22:00:42,레드불 둘 다 중고네 ㅇㅇ,,Before Lap,,레드불 둘 다 중고네 ㅇㅇ ,레드불 둘 다 중고네 ㅇㅇ,0.8507434725761414
2024-06-23 22:00:44,와 스페인에도 페라리 팬 많네,"사인츠덕인가
- dc official App",Before Lap,,"와 스페인에도 페라리 팬 많네 사인츠덕인가
- dc official App",와 스페인에도 페라리 팬 많네 사인츠덕인가 - dc official App,0.08147981017827988
2024-06-23 22:00:45,중연) 해밀턴 일타 쌍피 ㄷㄷ,"노리스 몽골 사망 ㄷㄷㄷ
- dc official App",Before Lap,,"중연) 해밀턴 일타 쌍피 ㄷㄷ 노리스 몽골 사망 ㄷㄷㄷ
- dc official App",중연) 해밀턴 일타 쌍피 ㄷㄷ 노리스 몽골 사망 ㄷㄷㄷ - dc official App,0.2335646152496338
2024-06-23 22:00:47,병신 뭔짓했길래 P11 스타트임?,- dc official App,Before Lap,,병신 뭔짓했길래 P11 스타트임? - dc official App,병신 뭔짓했길래 P11 스타트임? - dc official App,0.5293939709663391
2024-06-23 22:00:48,형은 오늘도 조기퇴근할거야,,Before Lap,,형은 오늘도 조기퇴근할거야 ,형은 오늘도 조기퇴근할거야,0.5680939555168152
2024-06-23 22:00:55,가자드가자,ㄷㄱㅈ,Before Lap,,가자드가자 ㄷㄱㅈ,가자드가자 ㄷㄱㅈ,0.7627856135368347
2024-06-23 22:00:57,사전트야 큰 기대 안 한다 차만 부수지 마라,완주도 너한테는 잘한 거다…,Before Lap,,사전트야 큰 기대 안 한다 차만 부수지 마라 완주도 너한테는 잘한 거다…,사전트야 큰 기대 안 한다 차만 부수지 마라 완주도 너한테는 잘한 거다…,0.8913574814796448
2024-06-23 22:00:57,포메이션 랩 입갷 ㅋㅋㅋ,,Before Lap,,포메이션 랩 입갷 ㅋㅋㅋ ,포메이션 랩 입갷 ㅋㅋㅋ,0.3647988438606262
2024-06-23 22:01:08,물탕도 썼던 소프트 같은데,- dc official App,Before Lap,,물탕도 썼던 소프트 같은데 - dc official App,물탕도 썼던 소프트 같은데 - dc official App,0.1331941783428192
2024-06-23 22:01:18,미미하소 깔깔,,Before Lap,,미미하소 깔깔 ,미미하소 깔깔,0.9058747887611389
2024-06-23 22:01:18,메르 소프트 남아있음?,,Before Lap,,메르 소프트 남아있음? ,메르 소프트 남아있음?,0.0902227982878685
2024-06-23 22:01:20,루이스 해밀턴 경의 스페인GP 우승을 기원합니다.,신기록 가즈아!,Before Lap,,루이스 해밀턴 경의 스페인GP 우승을 기원합니다. 신기록 가즈아!,루이스 해밀턴 경의 스페인GP 우승을 기원합니다. 신기록 가즈아!,0.05258890241384506
2024-06-23 22:01:23,중연) 츠노다 우승ㅋㅋㅋㅋㅋ,컄ㅋㅋㅋㅋㅋㅋ,Before Lap,,중연) 츠노다 우승ㅋㅋㅋㅋㅋ 컄ㅋㅋㅋㅋㅋㅋ,중연) 츠노다 우승ㅋㅋㅋㅋㅋ 컄ㅋㅋㅋㅋㅋㅋ,0.5499016642570496
