post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:00:00,러셀 몽골 레슬링 ㅋㅋㅋ,존버,Before Lap,,러셀 몽골 레슬링 ㅋㅋㅋ 존버,러셀 몽골 레슬링 ㅋㅋㅋ 존버,0.35621047019958496
2024-12-08 22:00:01,오늘 몽골이 맥라렌 두대 박으면 엪갤 터지냐,,Before Lap,,오늘 몽골이 맥라렌 두대 박으면 엪갤 터지냐 ,오늘 몽골이 맥라렌 두대 박으면 엪갤 터지냐,0.8261078596115112
2024-12-08 22:00:04,열차짤 만든 엪붕이 좋아죽겠노 ㅋㅋㅋㅋㅋㅋㅋ,"안캐 샤라웃 ㅋㅋㅋㅋ
- dc official App",Before Lap,,"열차짤 만든 엪붕이 좋아죽겠노 ㅋㅋㅋㅋㅋㅋㅋ 안캐 샤라웃 ㅋㅋㅋㅋ
- dc official App",열차짤 만든 엪붕이 좋아죽겠노 ㅋㅋㅋㅋㅋㅋㅋ 안캐 샤라웃 ㅋㅋㅋㅋ - dc official App,0.8442634344100952
2024-12-08 22:00:08,오늘 준비 엄청 하셨네ㅋㅋㅋㅋㅋㅋ,- dc official App,Before Lap,,오늘 준비 엄청 하셨네ㅋㅋㅋㅋㅋㅋ - dc official App,오늘 준비 엄청 하셨네ㅋㅋㅋㅋㅋㅋ - dc official App,0.0756634771823883
2024-12-08 22:00:13,야스 마리나 서킷이 전형적인 틸케 드롬은 아니냐?,아니면 결국 좆노잼 병신이냐?,Before Lap,,야스 마리나 서킷이 전형적인 틸케 드롬은 아니냐? 아니면 결국 좆노잼 병신이냐?,야스 마리나 서킷이 전형적인 틸케 드롬은 아니냐? 아니면 결국 좆노잼 병신이냐?,0.9482756853103638
2024-12-08 22:00:24,오프닝영상은 전시즌 순위 순서인가?,가만보면 막스가 맨날 막타에 나오는듯해서,Before Lap,,오프닝영상은 전시즌 순위 순서인가? 가만보면 막스가 맨날 막타에 나오는듯해서,오프닝영상은 전시즌 순위 순서인가? 가만보면 막스가 맨날 막타에 나오는듯해서,0.13871535658836365
2024-12-08 22:00:26,안캐햄 갤질 좀 그만하십쇼,갤에서 한캐 여론 좋으니까 준비 빡세게 해온거 티납니다,Before Lap,,안캐햄 갤질 좀 그만하십쇼 갤에서 한캐 여론 좋으니까 준비 빡세게 해온거 티납니다,안캐햄 갤질 좀 그만하십쇼 갤에서 한캐 여론 좋으니까 준비 빡세게 해온거 티납니다,0.924271821975708
2024-12-08 22:00:36,연습) 르끌 p1 p1,캬ㅋㅋㅋㅋㅋㅋㅋㅋ,Before Lap,,연습) 르끌 p1 p1 캬ㅋㅋㅋㅋㅋㅋㅋㅋ,연습) 르끌 p1 p1 캬ㅋㅋㅋㅋㅋㅋㅋㅋ,0.48512595891952515
2024-12-08 22:00:39,like이세돌/따거/밀턴이형해줄게/승리의 맥열차,미치겠네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Before Lap,,like이세돌/따거/밀턴이형해줄게/승리의 맥열차 미치겠네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,like이세돌/따거/밀턴이형해줄게/승리의 맥열차 미치겠네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.2200848013162613
2024-12-08 22:00:40,경기다보고 3년전아부다비봐야겠다,ㄹㅇ,Before Lap,,경기다보고 3년전아부다비봐야겠다 ㄹㅇ,경기다보고 3년전아부다비봐야겠다 ㄹㅇ,0.1940438598394394
