post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-11-24 15:00:02,오늘 몽노대전 ㅈㄴ 기대되네 ㅋㅋ,리타만 하지말아라 ㅋㅋ,Before Lap,,오늘 몽노대전 ㅈㄴ 기대되네 ㅋㅋ 리타만 하지말아라 ㅋㅋ,오늘 몽노대전 ㅈㄴ 기대되네 ㅋㅋ 리타만 하지말아라 ㅋㅋ,0.1439405232667923
2024-11-24 15:00:14,타이어 정배 뭐임?,- dc official App,Before Lap,,타이어 정배 뭐임? - dc official App,타이어 정배 뭐임? - dc official App,0.14207303524017334
2024-11-24 15:00:17,체황 하드 도박간다,,Before Lap,,체황 하드 도박간다 ,체황 하드 도박간다,0.5028412342071533
2024-11-24 15:00:23,알국왕 소프트??,??,Before Lap,,알국왕 소프트?? ??,알국왕 소프트?? ??,0.3749432861804962
2024-11-24 15:00:23,병신 보타스 콜라 하드 국왕 소프트,제외 전부 미디엄,Before Lap,,병신 보타스 콜라 하드 국왕 소프트 제외 전부 미디엄,병신 보타스 콜라 하드 국왕 소프트 제외 전부 미디엄,0.2380950003862381
2024-11-24 15:00:29,드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,Before Lap,,드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,드가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.49147847294807434
2024-11-24 15:00:37,서킷 생김새 뭔가,"카트
빌리지고가맵 같이 생김",Before Lap,,"서킷 생김새 뭔가 카트
빌리지고가맵 같이 생김",서킷 생김새 뭔가 카트 빌리지고가맵 같이 생김,0.4391308128833771
2024-11-24 15:00:38,소프트 스타트는 뭐야 또 국왕님,?,Before Lap,,소프트 스타트는 뭐야 또 국왕님 ?,소프트 스타트는 뭐야 또 국왕님 ?,0.18205265700817108
2024-11-24 15:00:40,올해는 맨홀뚜껑 없노,,Before Lap,,올해는 맨홀뚜껑 없노 ,올해는 맨홀뚜껑 없노,0.2740883529186249
2024-11-24 15:00:44,와 19 20은 일자로 서있지도 못하네,대각선으로 서있는거 슬프노,Before Lap,,와 19 20은 일자로 서있지도 못하네 대각선으로 서있는거 슬프노,와 19 20은 일자로 서있지도 못하네 대각선으로 서있는거 슬프노,0.214590921998024
2024-11-24 15:00:45,어제보다 따뜻하네?,오,Before Lap,,어제보다 따뜻하네? 오,어제보다 따뜻하네? 오,0.061845600605010986
2024-11-24 15:00:50,18도나 라니 ㅋㅋㅋ 개춥노 ㅋㅋㅋ,,Before Lap,,18도나 라니 ㅋㅋㅋ 개춥노 ㅋㅋㅋ ,18도나 라니 ㅋㅋㅋ 개춥노 ㅋㅋㅋ,0.8075197339057922
2024-11-24 15:00:51,체코 존나미끌거리면서 왜 하드들고옴?,일부러 저러냐?,Before Lap,,체코 존나미끌거리면서 왜 하드들고옴? 일부러 저러냐?,체코 존나미끌거리면서 왜 하드들고옴? 일부러 저러냐?,0.894027590751648
2024-11-24 15:00:55,몽골 리어윙 잘못된거 그대로임?,ㅇㅇ,Before Lap,,몽골 리어윙 잘못된거 그대로임? ㅇㅇ,몽골 리어윙 잘못된거 그대로임? ㅇㅇ,0.24705177545547485
