post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-09-22 21:00:06,오늘의 안캐쇼 모음.txt,"[시리즈] 안캐쇼 모음
· 오늘의 안캐쇼 모음.txt
· 오늘의 안캐쇼 모음.txt
일관성은 자우버가 최고
저우 관유 발테리 보타스
체코 아직 기억
피에르 가슬리
수많은 서킷에 남겨진 족적
다니엘 리카도
다시 돌아왔다고 해야될까요
세르히오 페레즈
플랜B 복분자
알렉산더 알본
제발 이것도 계획이라고 해줘
카를로그 사인즈 샤를 르끌레르
이정도면 다해줬잖아
페르난도 알론소
나에게만 엄격했던 포디움
니코 헐크
꿈과 희망의 로켓배송
조지 러셀
Fia와 대치중인
막스 베르스타펜
안녕하지 못한 첫랩
랜도 노리스",Before Lap,,"오늘의 안캐쇼 모음.txt [시리즈] 안캐쇼 모음
· 오늘의 안캐쇼 모음.txt
· 오늘의 안캐쇼 모음.txt
일관성은 자우버가 최고
저우 관유 발테리 보타스
체코 아직 기억
피에르 가슬리
수많은 서킷에 남겨진 족적
다니엘 리카도
다시 돌아왔다고 해야될까요
세르히오 페레즈
플랜B 복분자
알렉산더 알본
제발 이것도 계획이라고 해줘
카를로그 사인즈 샤를 르끌레르
이정도면 다해줬잖아
페르난도 알론소
나에게만 엄격했던 포디움
니코 헐크
꿈과 희망의 로켓배송
조지 러셀
Fia와 대치중인
막스 베르스타펜
안녕하지 못한 첫랩
랜도 노리스",오늘의 안캐쇼 모음.txt [시리즈] 안캐쇼 모음 · 오늘의 안캐쇼 모음.txt · 오늘의 안캐쇼 모음.txt 일관성은 자우버가 최고 저우 관유 발테리 보타스 체코 아직 기억 피에르 가슬리 수많은 서킷에 남겨진 족적 다니엘 리카도 다시 돌아왔다고 해야될까요 세르히오 페레즈 플랜B 복분자 알렉산더 알본 제발 이것도 계획이라고 해줘 카를로그 사인즈 샤를 르끌레르 이정도면 다해줬잖아 페르난도 알론소 나에게만 엄격했던 포디움 니코 헐크 꿈과 희망의 로켓배송 조지 러셀 Fia와 대치중인 막스 베르스타펜 안녕하지 못한 첫랩 랜도 노리스,0.1461227536201477
2024-09-22 21:00:08,맥라렌 신라호텔이 후원하나보네,첨 알았노,Before Lap,,맥라렌 신라호텔이 후원하나보네 첨 알았노,맥라렌 신라호텔이 후원하나보네 첨 알았노,0.27764013409614563
2024-09-22 21:00:08,물탕경 350전 ㄷㄷ,- dc official App,Before Lap,,물탕경 350전 ㄷㄷ - dc official App,물탕경 350전 ㄷㄷ - dc official App,0.12947405874729156
2024-09-22 21:00:18,신라면세점 뭐냐?,,Before Lap,,신라면세점 뭐냐? ,신라면세점 뭐냐?,0.4013276696205139
2024-09-22 21:00:23,아까 관중석여자뭐냐,존나 크네,Before Lap,,아까 관중석여자뭐냐 존나 크네,아까 관중석여자뭐냐 존나 크네,0.8405401706695557
2024-09-22 21:00:26,물탕 리카도 소프트 스타트,ㅋㅋㅋㅋㅋ,Before Lap,,물탕 리카도 소프트 스타트 ㅋㅋㅋㅋㅋ,물탕 리카도 소프트 스타트 ㅋㅋㅋㅋㅋ,0.34181511402130127
2024-09-22 21:00:27,중연)) 노리스 또따이네 ㅋㅋㅋ,,Before Lap,,중연)) 노리스 또따이네 ㅋㅋㅋ ,중연)) 노리스 또따이네 ㅋㅋㅋ,0.9287540912628174
2024-09-22 21:00:29,뚱녀들 뭐임 ㄷㄷㄷ,ㄷㄷ,Before Lap,,뚱녀들 뭐임 ㄷㄷㄷ ㄷㄷ,뚱녀들 뭐임 ㄷㄷㄷ ㄷㄷ,0.9375810623168945
2024-09-22 21:00:34,맥라렌 차에 신라 면세점 뭐노 ㅋㅋㅋ,,Before Lap,,맥라렌 차에 신라 면세점 뭐노 ㅋㅋㅋ ,맥라렌 차에 신라 면세점 뭐노 ㅋㅋㅋ,0.7603039145469666
2024-09-22 21:00:37,포메이션랩 입갤 ㅋㅋㅋㅋㅋㅋㅋ,,Before Lap,,포메이션랩 입갤 ㅋㅋㅋㅋㅋㅋㅋ ,포메이션랩 입갤 ㅋㅋㅋㅋㅋㅋㅋ,0.27089542150497437
2024-09-22 21:00:37,케로: 알론소<<양만 많고 질은 별로,해밀턴은 질이 좋다,Before Lap,,케로: 알론소<<양만 많고 질은 별로 해밀턴은 질이 좋다,케로: 알론소<<양만 많고 질은 별로 해밀턴은 질이 좋다,0.24739262461662292
2024-09-22 21:00:38,ㅅㅂ 늦었다,그리드 소개 못 들었네,Before Lap,,ㅅㅂ 늦었다 그리드 소개 못 들었네,ㅅㅂ 늦었다 그리드 소개 못 들었네,0.23823504149913788
2024-09-22 21:00:41,경 소프트?,,Before Lap,,경 소프트? ,경 소프트?,0.2828197479248047
2024-09-22 21:00:44,잘 모르는데 로켓배송이랑 쥬지랑 무슨 상관임?,ㅇㅇ,Before Lap,,잘 모르는데 로켓배송이랑 쥬지랑 무슨 상관임? ㅇㅇ,잘 모르는데 로켓배송이랑 쥬지랑 무슨 상관임? ㅇㅇ,0.8550818562507629
2024-09-22 21:00:44,경도박ㅋㅋㅋ,,Before Lap,,경도박ㅋㅋㅋ ,경도박ㅋㅋㅋ,0.7849308848381042
2024-09-22 21:00:45,소프트경 ㅋㅋㅋ,"ㅋㅋ
- dc official App",Before Lap,,"소프트경 ㅋㅋㅋ ㅋㅋ
- dc official App",소프트경 ㅋㅋㅋ ㅋㅋ - dc official App,0.33491700887680054
2024-09-22 21:00:45,경 소프트 ㄷㄷㄷㄷ,ㄷㄷㄷ,Before Lap,,경 소프트 ㄷㄷㄷㄷ ㄷㄷㄷ,경 소프트 ㄷㄷㄷㄷ ㄷㄷㄷ,0.12532320618629456
2024-09-22 21:00:46,같은 f1인데 뭔가 오늘따라 심장 찌릿거리네,,Before Lap,,같은 f1인데 뭔가 오늘따라 심장 찌릿거리네 ,같은 f1인데 뭔가 오늘따라 심장 찌릿거리네,0.07971598953008652
2024-09-22 21:00:47,물탕이햄 소프투 ㄷㄷㄷㄷ,,Before Lap,,물탕이햄 소프투 ㄷㄷㄷㄷ ,물탕이햄 소프투 ㄷㄷㄷㄷ,0.11238738149404526
2024-09-22 21:00:47,대물탕 부드럽노,- dc official App,Before Lap,,대물탕 부드럽노 - dc official App,대물탕 부드럽노 - dc official App,0.6405593752861023
2024-09-22 21:00:49,경 소프트 뭐냐? ㅋㅋㅋㅋㅋㅋㅋ,"ㅇ
- dc official App",Before Lap,,"경 소프트 뭐냐? ㅋㅋㅋㅋㅋㅋㅋ ㅇ
- dc official App",경 소프트 뭐냐? ㅋㅋㅋㅋㅋㅋㅋ ㅇ - dc official App,0.4337654411792755
2024-09-22 21:00:54,대물탕 소프트 ㄷㄷㄷㄷ,,Before Lap,,대물탕 소프트 ㄷㄷㄷㄷ ,대물탕 소프트 ㄷㄷㄷㄷ,0.48123955726623535
2024-09-22 21:00:57,소프트맞음?아니ㅋㅋ,씹,Before Lap,,소프트맞음?아니ㅋㅋ 씹,소프트맞음?아니ㅋㅋ 씹,0.782971203327179
2024-09-22 21:00:59,경 소프트 뭐고,ㅅㅂ,Before Lap,,경 소프트 뭐고 ㅅㅂ,경 소프트 뭐고 ㅅㅂ,0.6081776022911072
2024-09-22 21:01:00,더 신라 면세점이 왜 맥라렌 리버리에 있지,언제 스폰했냐,Before Lap,,더 신라 면세점이 왜 맥라렌 리버리에 있지 언제 스폰했냐,더 신라 면세점이 왜 맥라렌 리버리에 있지 언제 스폰했냐,0.6018869280815125
2024-09-22 21:01:01,해물탕 소프트 뭐냐 ㄷㄷㄷ,,Before Lap,,해물탕 소프트 뭐냐 ㄷㄷㄷ ,해물탕 소프트 뭐냐 ㄷㄷㄷ,0.22860823571681976
2024-09-22 21:01:02,경의 품격 예고ㅋㅋㅋㅋㅋ,소프트,Before Lap,,경의 품격 예고ㅋㅋㅋㅋㅋ 소프트,경의 품격 예고ㅋㅋㅋㅋㅋ 소프트,0.11308958381414413
